screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
46848,good,0,Text Button,2830.78369140625,0.73393406570035,13.26,"[10, 89, 213, 108]"
46848,good,1,Text Button,2616.55517578125,0.7160796868585796,12.26,"[10, 110, 213, 128]"
46848,good,2,Text Button,2585.852294921875,0.7076771469408525,12.11,"[10, 69, 213, 87]"
46848,good,3,Text Button,2468.36767578125,0.6755248154847427,11.56,"[10, 49, 213, 67]"
46848,good,4,Text Button,2283.324462890625,0.6248835421156609,10.7,"[10, 130, 213, 148]"
46848,good,5,Text Button,2288.73388671875,0.5933974297948535,10.72,"[10, 150, 213, 169]"
46848,good,6,Text Button,2047.428466796875,0.5603252509022646,9.59,"[10, 171, 213, 189]"
46848,good,7,Text Button,2045.16015625,0.5302463459294788,9.58,"[10, 28, 213, 47]"
46848,good,8,Text Button,1644.48779296875,0.450051393806445,7.7,"[10, 191, 213, 209]"
46848,good,9,Text Button,376.2523498535156,0.37069197029903017,1.76,"[10, 22, 213, 27]"
46848,good,10,Text,126.57682037353516,0.28767459175803445,0.59,"[26, 10, 81, 18]"
46848,good,11,Image,31.460254669189453,0.17477919260660807,0.15,"[6, 9, 24, 19]"
46846,good,0,Text,1375.2899169921875,0.755653800545158,11.77,"[0, 135, 130, 149]"
46846,good,1,Text,1411.4881591796875,0.723840081630609,12.08,"[0, 120, 130, 135]"
46846,good,2,Text,1269.6273193359375,0.697597428206559,10.87,"[0, 161, 130, 175]"
46846,good,3,Text,1320.86376953125,0.6773660356570513,11.31,"[0, 105, 130, 120]"
46846,good,4,Text,1252.5452880859375,0.6423309169671474,10.72,"[0, 175, 130, 190]"
46846,good,5,Text,256.3046569824219,0.5932978170889395,2.19,"[0, 149, 36, 161]"
46846,good,6,Text,1061.430908203125,0.5832037957160028,9.09,"[0, 91, 130, 105]"
46846,good,7,Text,1107.965087890625,0.5681872245592948,9.48,"[0, 190, 130, 205]"
46846,good,8,Text,95.91410827636719,0.42067591349283856,0.82,"[0, 205, 57, 209]"
46846,good,9,Text,717.086669921875,0.39400366479223903,6.14,"[0, 65, 130, 79]"
46846,good,10,Text,163.7021942138672,0.37894026438395184,1.4,"[0, 79, 36, 91]"
46846,good,11,Text,558.0956420898438,0.2862028933794071,4.78,"[0, 50, 130, 65]"
46846,good,12,Image,589.3106689453125,0.1618985354245364,5.04,"[0, 22, 130, 50]"
46846,good,13,Icon,114.69842529296875,0.1575527819958362,0.98,"[112, 22, 168, 35]"
46846,good,14,Icon,108.13275146484375,0.14853399926489527,0.93,"[56, 22, 112, 35]"
46846,good,15,Icon,101.51972198486328,0.1394501675616254,0.87,"[168, 22, 224, 35]"
46846,good,16,Icon,46.84419250488281,0.12011331411508414,0.4,"[176, 7, 202, 22]"
46846,good,17,Image,80.81724548339844,0.11101269983983302,0.69,"[0, 22, 56, 35]"
46846,good,18,Text,17.04290008544922,0.07853871007119456,0.15,"[39, 11, 70, 18]"
46846,good,19,Icon,15.799189567565918,0.04787633202292702,0.14,"[202, 7, 224, 22]"
46846,good,20,Icon,18.687341690063477,0.041527425977918836,0.16,"[0, 7, 30, 22]"
46849,good,0,Text,3968.0791015625,0.7111252870183692,67.33,"[65, 92, 158, 152]"
46849,good,1,Icon,416.8150939941406,0.5725482060359075,7.07,"[112, 22, 168, 35]"
46849,good,2,Image,399.8909606933594,0.5493007701831859,6.79,"[56, 22, 112, 35]"
46849,good,3,Icon,268.3639831542969,0.5092295695527455,4.55,"[184, 187, 215, 204]"
46849,good,4,Image,320.47509765625,0.4402130462311126,5.44,"[168, 22, 224, 35]"
46849,good,5,Text,112.56787872314453,0.3828839412351855,1.91,"[39, 11, 81, 18]"
46849,good,6,Icon,112.279541015625,0.34024103338068185,1.91,"[202, 7, 224, 22]"
46849,good,7,Icon,221.8525390625,0.30474249871222525,3.76,"[0, 22, 56, 35]"
46849,good,8,Icon,72.76404571533203,0.1616978793674045,1.23,"[0, 7, 30, 22]"
46847,good,0,Icon,277.0272216796875,0.38053189791165865,19.63,"[112, 22, 168, 35]"
46847,good,1,Icon,275.8465881347656,0.37891014853676597,19.54,"[56, 22, 112, 35]"
46847,good,2,Image,239.68148803710938,0.3292328132377876,16.98,"[168, 22, 224, 35]"
46847,good,3,Image,237.12811279296875,0.32572542966067136,16.8,"[0, 22, 56, 35]"
46847,good,4,Icon,123.25007629394531,0.3160258366511418,8.73,"[176, 7, 202, 22]"
46847,good,5,Text,63.65986633300781,0.29336343932261666,4.51,"[39, 11, 70, 18]"
46847,good,6,Icon,96.39087677001953,0.29209356596975616,6.83,"[202, 7, 224, 22]"
46847,good,7,Icon,98.47122192382812,0.21882493760850694,6.98,"[0, 7, 30, 22]"
46851,good,0,Text,7216.0439453125,0.7114309322007789,83.82,"[8, 40, 215, 89]"
46851,good,1,Text,428.6534729003906,0.6388278284655597,4.98,"[81, 26, 142, 37]"
46851,good,2,Image,65.67222595214844,0.364845699734158,0.76,"[6, 9, 24, 19]"
46851,good,3,Text,144.83123779296875,0.32916190407492896,1.68,"[26, 10, 81, 18]"
46851,good,4,Text Button,428.281494140625,0.28552099609375,4.97,"[113, 188, 213, 203]"
46851,good,5,Text Button,325.9317626953125,0.217287841796875,3.79,"[10, 188, 110, 203]"
46852,good,0,List Item,3585.35791015625,0.6402424839564732,20.35,"[0, 109, 224, 134]"
46852,good,1,List Item,3279.318359375,0.6099922543480283,18.61,"[0, 134, 224, 158]"
46852,good,2,List Item,2998.11669921875,0.5576853979201544,17.01,"[0, 85, 224, 109]"
