screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
33496,bad,0,Text Button,712.5159912109375,0.7330411432211291,2.74,"[2, 189, 56, 207]"
33496,bad,1,Icon,652.179931640625,0.5646579494724026,2.51,"[84, 1, 139, 22]"
33496,bad,2,Background Image,23081.658203125,0.5311500875166836,88.79,"[0, 15, 224, 209]"
33496,bad,3,Image,439.972900390625,0.3879831573109568,1.69,"[167, 1, 221, 22]"
33496,bad,4,Image,145.50698852539062,0.3730948423727965,0.56,"[195, 23, 221, 38]"
33496,bad,5,Text Button,396.7724609375,0.3435259402056277,1.53,"[84, 186, 139, 207]"
33496,bad,6,Image,318.8911437988281,0.3280773084350084,1.23,"[2, 1, 56, 19]"
33496,bad,7,Text Button,248.01870727539062,0.22964695118091724,0.95,"[167, 187, 221, 207]"
33497,bad,0,Image,3222.1044921875,0.7415660511363636,7.58,"[139, 55, 218, 110]"
33497,bad,1,Text,2333.11767578125,0.7290992736816406,5.49,"[31, 32, 191, 52]"
33497,bad,2,Image,3096.375,0.7126294591484464,7.29,"[5, 55, 84, 110]"
33497,bad,3,Image,2724.083251953125,0.626946663280351,6.41,"[5, 113, 84, 168]"
33497,bad,4,Background Image,26737.37109375,0.5711160947913106,62.91,"[0, 0, 224, 209]"
33497,bad,5,Image,2232.742919921875,0.513864883756473,5.25,"[139, 113, 218, 168]"
33497,bad,6,Text Button,724.7877807617188,0.4930529120828019,1.71,"[149, 8, 219, 29]"
33497,bad,7,Text Button,621.8739013671875,0.42304347031781464,1.46,"[75, 2, 145, 23]"
33497,bad,8,Text Button,479.4244079589844,0.40871646032308984,1.13,"[3, 8, 72, 25]"
33497,bad,9,Text,270.48681640625,0.2470199236586758,0.64,"[2, 194, 221, 199]"
33497,bad,10,Text Button,56.760345458984375,0.1338687392900575,0.13,"[85, 200, 138, 208]"
33498,bad,0,Web View,14348.89453125,0.3387768747786566,100.0,"[4, 9, 219, 206]"
