screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
38193,good,0,18,cache,"Wow! Very impressed by this totally free learning app. It's well-structured, easy to navigate, and quite intuitive. The graphics are fun and cute and attractive to even my 4 year old son, making him want to learn along with me! Because of the simple and easily navigated design, it loads quickly and easily and it downloads the lessons only when you go to use them, leaving your hard drive free of unnecessary content until you're actually ready to use it. Would definitely recommend this app to anyone beginning to learn Mandarin Chinese! And I'm looking forward to sharing in this learning experience with him! 👦‍👩💓",105,0.9903,0.0012,positive,"Image, Text, Image","▁Wow, ▁navigate, s",0.9823034405708313,0.9709962010383606,0.011307239532470703,0.3639867305755615,1.0,"Image, Image, Text",0.009233653545379639
38193,good,1,11,cache,"Started learning with the kids at school when the Mandarin teacher came to teach them, and became genuinely interested in learning with my students. Taking it a step further to work on my own, this app is so awesome! Honestly came to work today after just starting this app and the teacher was shocked I was able to know it before she taught the Littles. Super fun, easy, and helpful app! Truly loving it so far!",76,0.9883,0.0015,positive,"Image, Text, Image","▁further, ▁school, ▁to",0.9677112698554993,0.9454673528671265,0.022243916988372803,0.36058294773101807,1.0,"Image, Image, Text",0.016723990440368652
38193,good,2,15,cache,"[10/28/17] Excellent. Has everything. Very easy to use on a daily basis. Has tons of extra little games to build up all of your skills. [8/22/20] I'm using the app again after a long hiatus, and the updates have made it even better. You can review grammar and vocabulary separately, they have live speakers, full conversations to demonstrate, detailed explanations of grammar and pronunciation (which was already there, but is more thorough now), etc. Again, fantastic app. Thank you!",79,0.9837,0.0015,positive,"Image, Text, Image","▁little, ▁separately, ▁games",0.9785172343254089,0.9637452363967896,0.014771997928619385,0.36607998609542847,1.0,"Image, Image, Text",0.01093900203704834
38193,good,3,5,cache,"I just got through the first level and so far I love it! It helps with writing, reading, speaking, and listening in Chinese. I like that I can speed through when I want, or I can slow down and repeat things as many times as I like during the level. The app is very straight forward in it's way of teaching. I also like that for the writing part it shows you the proper stroke order of each character, which is very important in Chinese. However, if you are only trying to learn to speak and understand spoken Chinese you can fly through this part and only take a few seconds to write each character. It is good all around for any Chinese language learner... although I am a beginner, so I can't say how it is for advanced speakers yet.",141,0.9829,0.002,positive,"Image, Text, Image","▁far, ▁I, ▁Chinese",0.9771649241447449,0.962158739566803,0.015006184577941895,0.35447296500205994,1.0,"Image, Image, Text",0.011480152606964111
38193,good,4,13,cache,"I've had this app for a couple years and it was good when I got it, but over the years they have updated a lot and it's even better than before. They provide multiple ways of learning and practicing the words through visuals, audio, typing, and more while mixing up ways to produce or translate vocab and put it into context. You learn vocab, grammar and syntax and more for written and spoken Chinese. And it's cute. :) As a teacher of language, I am especially impressed and recommend this app!",91,0.9801,0.0022,positive,"Image, Text, Image","▁more, ▁and, ▁multiple",0.9771928191184998,0.9624813199043274,0.014711499214172363,0.3656207025051117,1.0,"Image, Image, Text",0.011707723140716553
38200,good,0,18,cache,"Wow! Very impressed by this totally free learning app. It's well-structured, easy to navigate, and quite intuitive. The graphics are fun and cute and attractive to even my 4 year old son, making him want to learn along with me! Because of the simple and easily navigated design, it loads quickly and easily and it downloads the lessons only when you go to use them, leaving your hard drive free of unnecessary content until you're actually ready to use it. Would definitely recommend this app to anyone beginning to learn Mandarin Chinese! And I'm looking forward to sharing in this learning experience with him! 👦‍👩💓",105,0.9903,0.0012,positive,"Image, Text, Icon","▁Wow, ▁navigate, s",0.9554767608642578,0.8419889807701111,0.11348778009414673,0.60174161195755,1.0,"Image, Image, Text",0.037841856479644775
38200,good,1,11,cache,"Started learning with the kids at school when the Mandarin teacher came to teach them, and became genuinely interested in learning with my students. Taking it a step further to work on my own, this app is so awesome! Honestly came to work today after just starting this app and the teacher was shocked I was able to know it before she taught the Littles. Super fun, easy, and helpful app! Truly loving it so far!",76,0.9883,0.0015,positive,"Text, Image, Icon","▁further, ▁school, ▁to",0.9007532000541687,0.7150798439979553,0.18567335605621338,0.5535135865211487,1.0,"Image, Text, Image",0.034361064434051514
38200,good,2,15,cache,"[10/28/17] Excellent. Has everything. Very easy to use on a daily basis. Has tons of extra little games to build up all of your skills. [8/22/20] I'm using the app again after a long hiatus, and the updates have made it even better. You can review grammar and vocabulary separately, they have live speakers, full conversations to demonstrate, detailed explanations of grammar and pronunciation (which was already there, but is more thorough now), etc. Again, fantastic app. Thank you!",79,0.9837,0.0015,positive,"Text, Image, Icon","▁little, ▁separately, ▁games",0.9450732469558716,0.8096738457679749,0.13539940118789673,0.5961503982543945,1.0,"Image, Image, Text",0.04401218891143799
38200,good,3,5,cache,"I just got through the first level and so far I love it! It helps with writing, reading, speaking, and listening in Chinese. I like that I can speed through when I want, or I can slow down and repeat things as many times as I like during the level. The app is very straight forward in it's way of teaching. I also like that for the writing part it shows you the proper stroke order of each character, which is very important in Chinese. However, if you are only trying to learn to speak and understand spoken Chinese you can fly through this part and only take a few seconds to write each character. It is good all around for any Chinese language learner... although I am a beginner, so I can't say how it is for advanced speakers yet.",141,0.9829,0.002,positive,"Text, Image, Icon","▁far, ▁I, ▁Chinese",0.9407074451446533,0.8075230121612549,0.13318443298339844,0.5905829668045044,1.0,"Image, Image, Text",0.04054003953933716
38200,good,4,13,cache,"I've had this app for a couple years and it was good when I got it, but over the years they have updated a lot and it's even better than before. They provide multiple ways of learning and practicing the words through visuals, audio, typing, and more while mixing up ways to produce or translate vocab and put it into context. You learn vocab, grammar and syntax and more for written and spoken Chinese. And it's cute. :) As a teacher of language, I am especially impressed and recommend this app!",91,0.9801,0.0022,positive,"Text, Image, Icon","▁more, ▁and, ▁multiple",0.9398614168167114,0.7976481318473816,0.14221328496932983,0.5818624496459961,1.0,"Image, Image, Text",0.03999042510986328
