screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
16589,good,0,5,cache,"I've been using this app for years and it continues to impress me with every update. It has a great visual interface, will help you find planets in the sky, gives you notifications for any moon phase or other sky event that you want. Extremely accurate information for any location for eclipses, lunar phases, solstices and equinoxes, planetary alignments, and much more. Just a great app!",66,0.9966898,0.00065577327,positive,"Text Button, Text Button, Text","es, ▁in, ▁will",0.9725767970085144,0.6697421669960022,0.3028346300125122,0.6027929186820984,1.0,"Text Button, Text Button, Text Button",0.43248409032821655
16589,good,1,0,cache,"This is a must have for anyone who is obsessed with the night sky. I've tried other, more well known apps for my stargazing, and none of them have been up to par compared to this one! My fav feature is the moon widget you can add to your home screen, which is basically a calendar for the current moon phase. There are so many neat features on this app and it really is rhe most informative and best designed app that the play store has to offer! 10/10!",89,0.9943037,0.0015298888,positive,"Text Button, Text Button, Text Button","▁widget, ▁This, ▁must",0.9638175368309021,0.40645483136177063,0.5573627054691315,0.5469854474067688,1.0,"Text Button, Text Button, Text Button",0.5573627054691315
16589,good,2,15,cache,Good way to track moon phases and rising and setting times. Really nice widget! Easy to use. Many other great features allowing you to see how all the planets are placed in the sky. Also you can 'time travel' back into the past and forward to the future. No ads. I occasionally donate anonymously using PayPal Thanks for such a great app. It's exactly what I was looking for.,69,0.9902204,0.0012342139,positive,"Text Button, Text Button, Text","▁Good, ▁Thanks, ▁anonymously",0.9713279604911804,0.6531351804733276,0.3181927800178528,0.6127686500549316,1.0,"Text Button, Text Button, Text Button",0.45784932374954224
16589,good,3,18,cache,"There are few Apps that make it through multiple phone upgrades, this is one of them. Been using daily for years. It has more data than you can successfully use each day, yet is simple to use and self explanatory. I've never once had a crash or glitch, smooth and precise. They really have thought of everything. Also like the widgets for fast info without having to open the app. As a skywatcher and picture taker, I use this app at least 5 times a day, every day. Highest recommendation.",90,0.9893087,0.0021434564,positive,"Text Button, Text Button, Text Button","▁that, ▁There, ▁a",0.9666488766670227,0.4622136354446411,0.5044352412223816,0.5602954030036926,1.0,"Text Button, Text Button, Text Button",0.5044352412223816
16589,good,4,6,cache,App is extremely detailed and loads up quickly. Has a lot of cool features for people interested in celestial bodies. The feature where you can see your location in relation to the sun and moons postions is really cool and puts the world into perspective. I also like that it shows the planets locations in the sky. Something that I never really thought about before.,65,0.9877323,0.0015008047,positive,"Text Button, Text Button, Text Button","▁features, ▁of, ▁App",0.9668639302253723,0.4976957440376282,0.46916818618774414,0.5491496324539185,1.0,"Text Button, Text Button, Text Button",0.46916818618774414
16590,good,0,5,cache,"I've been using this app for years and it continues to impress me with every update. It has a great visual interface, will help you find planets in the sky, gives you notifications for any moon phase or other sky event that you want. Extremely accurate information for any location for eclipses, lunar phases, solstices and equinoxes, planetary alignments, and much more. Just a great app!",66,0.9966898,0.00065577327,positive,"Text Button, Text Button, Text Button","es, ▁in, ▁will",0.9913866519927979,0.9901871681213379,0.001199483871459961,0.5972521901130676,1.0,"Text, Text, Text",0.0034016966819763184
16590,good,1,0,cache,"This is a must have for anyone who is obsessed with the night sky. I've tried other, more well known apps for my stargazing, and none of them have been up to par compared to this one! My fav feature is the moon widget you can add to your home screen, which is basically a calendar for the current moon phase. There are so many neat features on this app and it really is rhe most informative and best designed app that the play store has to offer! 10/10!",89,0.9943037,0.0015298888,positive,"Text Button, Text Button, Text Button","▁widget, ▁This, ▁must",0.9880281686782837,0.9858942031860352,0.002133965492248535,0.5581389665603638,1.0,"Text, Text, Text",0.005980730056762695
16590,good,2,15,cache,Good way to track moon phases and rising and setting times. Really nice widget! Easy to use. Many other great features allowing you to see how all the planets are placed in the sky. Also you can 'time travel' back into the past and forward to the future. No ads. I occasionally donate anonymously using PayPal Thanks for such a great app. It's exactly what I was looking for.,69,0.9902204,0.0012342139,positive,"Text Button, Text Button, Text Button","▁Good, ▁Thanks, ▁anonymously",0.9916722178459167,0.990149974822998,0.0015222430229187012,0.5943492650985718,1.0,"Text, Text, Text",0.0036548972129821777
16590,good,3,18,cache,"There are few Apps that make it through multiple phone upgrades, this is one of them. Been using daily for years. It has more data than you can successfully use each day, yet is simple to use and self explanatory. I've never once had a crash or glitch, smooth and precise. They really have thought of everything. Also like the widgets for fast info without having to open the app. As a skywatcher and picture taker, I use this app at least 5 times a day, every day. Highest recommendation.",90,0.9893087,0.0021434564,positive,"Text Button, Text Button, Text Button","▁that, ▁There, ▁a",0.98853600025177,0.9870413541793823,0.0014946460723876953,0.5785714387893677,1.0,"Text, Text, Text",0.004682660102844238
16590,good,4,6,cache,App is extremely detailed and loads up quickly. Has a lot of cool features for people interested in celestial bodies. The feature where you can see your location in relation to the sun and moons postions is really cool and puts the world into perspective. I also like that it shows the planets locations in the sky. Something that I never really thought about before.,65,0.9877323,0.0015008047,positive,"Text Button, Text Button, Text Button","▁features, ▁of, ▁App",0.9893428087234497,0.9877331256866455,0.0016096830368041992,0.5956626534461975,1.0,"Text, Text, Text",0.00445324182510376
