screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
61036,bad,0,Image,2286.19384765625,0.8049978336817781,22.09,"[76, 88, 147, 128]"
61036,bad,1,Text,1891.706298828125,0.603222671820193,18.28,"[112, 141, 224, 169]"
61036,bad,2,Text,2141.787109375,0.5463742625956632,20.7,"[0, 138, 112, 173]"
61036,bad,3,Text,4029.47021484375,0.5139630376076212,38.94,"[0, 40, 224, 75]"
61037,bad,0,Image,1392.558837890625,0.8167500515487537,10.36,"[2, 152, 57, 183]"
61037,bad,1,Image,652.136962890625,0.5928517844460227,4.85,"[2, 189, 57, 209]"
61037,bad,2,Image,868.7086791992188,0.5095065567150843,6.46,"[2, 43, 57, 74]"
61037,bad,3,Icon,222.8558349609375,0.49744606018066406,1.66,"[0, 25, 28, 41]"
61037,bad,4,Image,779.9622802734375,0.4574558828583211,5.8,"[2, 116, 57, 147]"
61037,bad,5,Image,177.8120574951172,0.4379607327465941,1.32,"[5, 10, 34, 24]"
61037,bad,6,Text,2076.77734375,0.3958028099390128,15.44,"[62, 152, 221, 185]"
61037,bad,7,Text,1927.26318359375,0.3673076393355727,14.33,"[62, 116, 221, 149]"
61037,bad,8,Image,584.7093505859375,0.3429380355342742,4.35,"[2, 79, 57, 110]"
61037,bad,9,Text,1572.456787109375,0.29968682811308844,11.69,"[62, 79, 221, 112]"
61037,bad,10,Text,892.3948364257812,0.28062730705213246,6.64,"[62, 189, 221, 209]"
61037,bad,11,Text,387.17608642578125,0.24692352450623803,2.88,"[28, 29, 224, 37]"
61037,bad,12,Text,1216.6690673828125,0.23187899130604392,9.05,"[62, 43, 221, 76]"
61037,bad,13,Image,696.0194091796875,0.21015078779579938,5.18,"[40, 7, 224, 25]"
61038,bad,0,Icon,228.023681640625,0.7626210088315217,1.64,"[0, 64, 23, 77]"
61038,bad,1,Text,298.377685546875,0.7367350260416666,2.14,"[2, 81, 47, 90]"
61038,bad,2,Text Button,938.2755126953125,0.6769664593761273,6.73,"[46, 43, 112, 64]"
61038,bad,3,Text,876.5928955078125,0.6696660775460752,6.29,"[47, 80, 166, 91]"
61038,bad,4,Image,2206.10107421875,0.6660933195104921,15.82,"[40, 7, 224, 25]"
61038,bad,5,Text,1489.3792724609375,0.6472747815997121,10.68,"[23, 64, 200, 77]"
61038,bad,6,Text,936.265380859375,0.5971080235072544,6.72,"[28, 29, 224, 37]"
61038,bad,7,Text,213.74208068847656,0.5937280019124349,1.53,"[2, 100, 47, 108]"
61038,bad,8,Icon,154.54185485839844,0.5660873804336939,1.11,"[166, 79, 187, 92]"
61038,bad,9,Icon,251.54454040527344,0.561483349118914,1.8,"[0, 25, 28, 41]"
61038,bad,10,Text,667.8668823242188,0.5612326742220326,4.79,"[47, 96, 166, 106]"
61038,bad,11,Text Button,756.2586669921875,0.5540356534741301,5.42,"[112, 43, 177, 64]"
61038,bad,12,Image,197.80880737304688,0.48721381126366226,1.42,"[5, 10, 34, 24]"
61038,bad,13,Text,626.8485107421875,0.4788758676410905,4.5,"[47, 117, 166, 128]"
61038,bad,14,Text,171.11439514160156,0.47531776428222655,1.23,"[2, 118, 47, 126]"
61038,bad,15,Text,560.5052490234375,0.47101281430540964,4.02,"[47, 134, 166, 144]"
61038,bad,16,Text,589.56103515625,0.4503904011888846,4.23,"[47, 150, 166, 161]"
61038,bad,17,Text,118.32525634765625,0.448201728589607,0.85,"[47, 106, 91, 112]"
61038,bad,18,Icon,116.12104034423828,0.42535179613274093,0.83,"[166, 96, 187, 109]"
61038,bad,19,Text,504.69244384765625,0.42411129735097164,3.62,"[47, 167, 166, 177]"
61038,bad,20,Text,525.973876953125,0.4018135041658709,3.77,"[47, 182, 166, 193]"
61038,bad,21,Text,136.54473876953125,0.3792909410264757,0.98,"[2, 135, 47, 143]"
61038,bad,22,Text,223.7352294921875,0.37602559578518907,1.6,"[47, 204, 166, 209]"
61038,bad,23,Icon,87.729248046875,0.3213525569482601,0.63,"[166, 116, 187, 129]"
61038,bad,24,Image,43.55070877075195,0.29626332497110175,0.31,"[166, 202, 187, 209]"
61038,bad,25,Icon,79.60997009277344,0.29161161206144115,0.57,"[166, 182, 187, 195]"
61038,bad,26,Icon,78.02725982666016,0.2858141385591947,0.56,"[166, 165, 187, 178]"
61038,bad,27,Icon,77.7978515625,0.28497381524725274,0.56,"[166, 132, 187, 145]"
61038,bad,28,Text,113.95346069335938,0.28136656961323303,0.82,"[2, 151, 47, 160]"
61038,bad,29,Icon,75.83851623535156,0.27779676276685555,0.54,"[166, 149, 187, 162]"
61038,bad,30,Icon,81.11112976074219,0.27127468147405415,0.58,"[192, 116, 215, 129]"
61038,bad,31,Icon,80.49845886230469,0.26922561492409597,0.58,"[192, 96, 215, 109]"
61038,bad,32,Text,44.7232551574707,0.21296788170224146,0.32,"[47, 193, 82, 199]"
61038,bad,33,Icon,64.46320343017578,0.20019628394464528,0.46,"[192, 165, 215, 179]"
61038,bad,34,Text,65.32780456542969,0.18146612379286026,0.47,"[2, 168, 47, 176]"
61038,bad,35,Icon,53.27119445800781,0.17816452995989235,0.38,"[192, 132, 215, 145]"
61038,bad,36,Icon,50.45970916748047,0.16876156912200826,0.36,"[192, 149, 215, 162]"
61038,bad,37,Icon,46.70709991455078,0.1562110365035143,0.33,"[192, 79, 215, 92]"
61038,bad,38,Icon,44.80097198486328,0.14983602670522836,0.32,"[192, 182, 215, 195]"
61038,bad,39,Text,31.825960159301758,0.08840544488694933,0.23,"[2, 186, 47, 194]"
61038,bad,40,Icon,22.510086059570312,0.07214771172939202,0.16,"[200, 64, 224, 77]"
61038,bad,41,Image,10.814981460571289,0.06717379789174714,0.08,"[192, 202, 215, 209]"
61038,bad,42,Text,1.254408359527588,0.006968935330708821,0.01,"[2, 205, 47, 209]"
61039,bad,0,Icon,249.8799591064453,0.8357189267774091,4.58,"[0, 64, 23, 77]"
61039,bad,1,Text Button,1116.273681640625,0.8053922666959776,20.47,"[46, 43, 112, 64]"
61039,bad,2,Icon,347.8739318847656,0.7765043122427804,6.38,"[0, 25, 28, 41]"
61039,bad,3,Text,1467.6243896484375,0.6378202475655965,26.91,"[23, 64, 200, 77]"
61039,bad,4,Image,245.90762329101562,0.6056838012093981,4.51,"[5, 10, 34, 24]"
61039,bad,5,Text Button,655.58056640625,0.48027880322802197,12.02,"[112, 43, 177, 64]"
61039,bad,6,Text,622.326416015625,0.3968918469487404,11.41,"[28, 29, 224, 37]"
61039,bad,7,Image,698.6390991210938,0.21094175698100656,12.81,"[40, 7, 224, 25]"
61039,bad,8,Icon,48.86137771606445,0.15660697985918093,0.9,"[200, 64, 224, 77]"
61040,bad,0,Icon,231.11334228515625,0.5158779961722237,1.52,"[0, 25, 28, 41]"
