screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
19558,bad,0,Background Image,24342.060546875,0.5379698671073859,97.68,"[0, 7, 224, 209]"
19558,bad,1,Icon,235.26124572753906,0.3360874938964844,0.94,"[10, 183, 45, 203]"
19558,bad,2,Icon,221.037109375,0.31576729910714285,0.89,"[94, 183, 129, 203]"
19558,bad,3,Icon,122.82881164550781,0.175469730922154,0.49,"[178, 183, 213, 203]"
19559,bad,0,Background Image,28805.92578125,0.6366231829307373,99.17,"[0, 7, 224, 209]"
19559,bad,1,Image,241.89938354492188,0.6202548296023638,0.83,"[192, 13, 218, 28]"
19560,bad,0,Icon,303.7642822265625,0.7302026015061599,1.72,"[171, 7, 197, 23]"
19560,bad,1,Text,1537.471923828125,0.7014014251040717,8.71,"[29, 7, 166, 23]"
19560,bad,2,Icon,222.54238891601562,0.5151444187870732,1.26,"[197, 7, 224, 23]"
19560,bad,3,Icon,72.98162841796875,0.42930369657628675,0.41,"[8, 10, 25, 20]"
19560,bad,4,Web View,15508.5478515625,0.3722289710916499,87.89,"[0, 23, 224, 209]"
19561,bad,0,Text,2070.21435546875,0.6161352248418899,18.87,"[0, 39, 224, 54]"
19561,bad,1,Text,445.22210693359375,0.5456153271245021,4.06,"[8, 11, 110, 19]"
19561,bad,2,Text,1824.09765625,0.5428862072172619,16.63,"[0, 54, 224, 69]"
19561,bad,3,Text,1725.5799560546875,0.5135654631115142,15.73,"[0, 24, 224, 39]"
19561,bad,4,Text,1419.343994140625,0.4224238077799479,12.94,"[0, 69, 224, 84]"
19561,bad,5,Text,890.4923095703125,0.2650274730864025,8.12,"[0, 84, 224, 99]"
19561,bad,6,Text,561.7103881835938,0.1671757107689267,5.12,"[0, 159, 224, 174]"
19561,bad,7,Text,491.7217712402344,0.15679903419650332,4.48,"[0, 175, 224, 189]"
19561,bad,8,Text,441.4701843261719,0.1313899358113607,4.02,"[0, 144, 224, 159]"
19561,bad,9,Text Button,75.20152282714844,0.1066688267051751,0.69,"[0, 194, 47, 209]"
19561,bad,10,Text,93.26438903808594,0.10408971990857806,0.85,"[0, 190, 224, 194]"
19561,bad,11,Text,322.1836242675781,0.09588798341296968,2.94,"[0, 99, 224, 114]"
19561,bad,12,Text,315.2532043457031,0.09382535843622117,2.87,"[0, 129, 224, 144]"
19561,bad,13,Text,183.33670043945312,0.05456449417840867,1.67,"[0, 114, 224, 129]"
19561,bad,14,Text Button,31.40125846862793,0.04361285898420546,0.29,"[47, 194, 95, 209]"
19561,bad,15,Input,72.25546264648438,0.040008561819758794,0.66,"[95, 194, 224, 208]"
19561,bad,16,Icon,9.222593307495117,0.0279472524469549,0.08,"[202, 8, 224, 23]"
19562,bad,0,Icon,93.2764892578125,0.5182027180989583,73.53,"[6, 9, 24, 19]"
19562,bad,1,Icon,20.10377311706543,0.5025943279266357,15.85,"[0, 12, 8, 17]"
19562,bad,2,Text Button,13.48097038269043,0.026433275260177313,10.63,"[190, 7, 224, 22]"
19563,bad,0,Text,235.063232421875,0.5441278528284144,56.19,"[26, 10, 80, 18]"
19563,bad,1,Icon,76.56301879882812,0.42535010443793403,18.3,"[6, 9, 24, 19]"
19563,bad,2,Text Button,106.6878890991211,0.20919193941004136,25.5,"[190, 7, 224, 22]"
