screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
3754,good,0,Text,530.3857421875,0.8752239970090759,1.55,"[61, 70, 162, 76]"
3754,good,1,Text Button,2733.3291015625,0.8252805258340882,7.99,"[8, 80, 215, 96]"
3754,good,2,Text Button,2232.851318359375,0.674170084045705,6.53,"[8, 50, 215, 66]"
3754,good,3,Background Image,25654.177734375,0.5669682137193909,75.03,"[0, 7, 224, 209]"
3754,good,4,Text Button,1806.782470703125,0.5134363372273728,5.28,"[8, 31, 215, 48]"
3754,good,5,Text,1235.213134765625,0.30635246397956967,3.61,"[0, 7, 224, 25]"
31170,good,0,Text,79.02291870117188,0.8979877125133168,0.27,"[51, 73, 62, 81]"
31170,good,1,Text,78.55729675292969,0.8926965540105646,0.27,"[51, 94, 62, 102]"
31170,good,2,Text,39.459861755371094,0.8220804532368978,0.13,"[39, 73, 45, 81]"
31170,good,3,Text,70.6935043334961,0.8033352765170011,0.24,"[51, 116, 62, 124]"
31170,good,4,Text,38.44159698486328,0.8008666038513184,0.13,"[39, 94, 45, 102]"
31170,good,5,Text,68.64061737060547,0.7800070155750621,0.23,"[51, 47, 62, 55]"
31170,good,6,Text,484.7694091796875,0.7574522018432617,1.65,"[39, 57, 167, 62]"
31170,good,7,Text,34.668922424316406,0.7222692171732584,0.12,"[39, 47, 45, 55]"
31170,good,8,Text,34.30754089355469,0.7147404352823893,0.12,"[39, 116, 45, 124]"
31170,good,9,Image,120.56429290771484,0.6345489100406044,0.41,"[8, 73, 27, 83]"
31170,good,10,Text,36.12497329711914,0.602082888285319,0.12,"[199, 78, 209, 84]"
31170,good,11,Text,52.92755126953125,0.6014494462446733,0.18,"[51, 138, 62, 146]"
31170,good,12,Icon,125.11177825927734,0.5986209486089825,0.43,"[8, 94, 27, 105]"
31170,good,13,Text,62.61122131347656,0.5962973458426339,0.21,"[194, 73, 215, 78]"
31170,good,14,Text,74.84465026855469,0.5940051608615451,0.25,"[194, 94, 215, 100]"
31170,good,15,Text,35.361629486083984,0.5893604914347331,0.12,"[199, 100, 209, 106]"
31170,good,16,Text,27.87283706665039,0.5574567413330078,0.09,"[199, 53, 209, 58]"
31170,good,17,Text,70.11844635009766,0.556495605953156,0.24,"[194, 116, 215, 122]"
31170,good,18,Text,26.44871711730957,0.5510149399439493,0.09,"[39, 138, 45, 146]"
31170,good,19,Background Image,24770.642578125,0.5474417118574302,84.29,"[0, 7, 224, 209]"
31170,good,20,Text,68.93635559082031,0.5471139332604786,0.23,"[194, 47, 215, 53]"
31170,good,21,Text,401.3045349121094,0.5350727132161458,1.37,"[39, 147, 164, 153]"
31170,good,22,Text,26.69469451904297,0.5338938903808593,0.09,"[199, 122, 209, 127]"
31170,good,23,Icon,106.70765686035156,0.5105629514849357,0.36,"[8, 116, 27, 127]"
31170,good,24,Icon,106.20979309082031,0.5081808281857432,0.36,"[8, 47, 27, 58]"
