screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
3754,good,0,10,cache,"This app is absolutely fantastic. I've downloaded a few Japanese language apps the past few weeks and I've found some are better for writing practice and others for sentence structure and grammar, but this one is all encompassing. I find it amazing that one person did all of this by themselves and hope that they continue do phenomenal work like this, thank you!!",63,0.9923,0.0014,positive,"Text, Text Button, Text Button","▁apps, ▁for, ▁phenomenal",0.935263454914093,0.8884133696556091,0.04685008525848389,0.5125841498374939,1.0,"Text Button, Text, Text Button",0.3096247911453247
3754,good,1,12,cache,I have had JA Sensei for quite some time. It is so comprehensive and helpful. It's like having a Japanese language class for all levels on your phone or computer. The unlimited plan was absolutely worth it. They keep updating and giving more stuff to help you learn. I do use Duolingo as well for more practice but JA Sensei is comprehensive and includes culture which is helpful when speaking a foreign language. I recommend using Duolingo and JA Sensei to get a full experience.,85,0.9916,0.001,positive,"Text, Text Button, Text Button","▁to, ▁full, ▁is",0.9512895345687866,0.9319117069244385,0.019377827644348145,0.5441169142723083,1.0,"Text Button, Text, Text Button",0.2128206491470337
3754,good,2,11,cache,"I've used this app for years. Super helpful, I love the design and ease of finding what I want. Easy to search and find verb conjugations, adjectives, kanji, and even counters! Irarely use my Japanese dictionaries anywhere. The handwriting program made a huge difference for me! I've only had a problem with it once, years ago. I contacted the developer, they were prompt and helpful! I love that the app is always making new improvements based on users feedback. I use the JA audio book app, too!",87,0.991,0.0012,positive,"Text, Text Button, Text Button","▁app, ▁Japanese, ▁Super",0.9446910619735718,0.9165610671043396,0.028129994869232178,0.507048487663269,1.0,"Text Button, Text, Text Button",0.24852043390274048
3754,good,3,13,cache,"I've been watching the development of this for years. Its solid design, impressively comprehensive, and useful without having to make purchases. The donation based membership cost provides functions that need server support only, and its the work of (as far as I know) one man. If you are serious about learning Japanese, it is the singular source you need to pass all proficiency exam levels.",65,0.9856,0.0024,positive,"Text, Text Button, Text Button","▁exam, ▁solid, ▁interface",0.9270973801612854,0.8746775984764099,0.05241978168487549,0.49149712920188904,1.0,"Text Button, Text, Text Button",0.3138430118560791
3754,good,4,4,cache,"I can tell, right off the bat, that this app is going to be my go-to for learning and practicing Japanese. I feel like I'm going to get lost in all of the ways I can learn with this app! From listening, speaking, reading and writing to practicing all of those things at once with flashcards or go to the grammar section or read up on cultural blunders one might make, unawares. There is so much to explore. This is the way language learning software should be made!",88,0.9821,0.0025,positive,"Text, Text Button, Text Button","▁to, ▁I, to",0.9402640461921692,0.9043974280357361,0.035866618156433105,0.49988627433776855,1.0,"Text Button, Text, Text Button",0.2916749119758606
31170,good,0,10,cache,"This app is absolutely fantastic. I've downloaded a few Japanese language apps the past few weeks and I've found some are better for writing practice and others for sentence structure and grammar, but this one is all encompassing. I find it amazing that one person did all of this by themselves and hope that they continue do phenomenal work like this, thank you!!",63,0.9923,0.0014,positive,"Text, Text, Text","▁apps, ▁for, ▁phenomenal",0.9944684505462646,0.9941872358322144,0.00028121471405029297,0.49567732214927673,1.0,"Text, Text, Text",0.002352416515350342
31170,good,1,12,cache,I have had JA Sensei for quite some time. It is so comprehensive and helpful. It's like having a Japanese language class for all levels on your phone or computer. The unlimited plan was absolutely worth it. They keep updating and giving more stuff to help you learn. I do use Duolingo as well for more practice but JA Sensei is comprehensive and includes culture which is helpful when speaking a foreign language. I recommend using Duolingo and JA Sensei to get a full experience.,85,0.9916,0.001,positive,"Text, Text, Text","▁to, ▁full, ▁is",0.9964091181755066,0.9968727231025696,0.0004636049270629883,0.5248281359672546,1.0,"Text, Text, Text",0.0012304186820983887
31170,good,2,11,cache,"I've used this app for years. Super helpful, I love the design and ease of finding what I want. Easy to search and find verb conjugations, adjectives, kanji, and even counters! Irarely use my Japanese dictionaries anywhere. The handwriting program made a huge difference for me! I've only had a problem with it once, years ago. I contacted the developer, they were prompt and helpful! I love that the app is always making new improvements based on users feedback. I use the JA audio book app, too!",87,0.991,0.0012,positive,"Text, Text, Text","▁app, ▁Japanese, ▁Super",0.9957420229911804,0.9962816834449768,0.0005396604537963867,0.516760528087616,1.0,"Text, Text, Text",0.0016021132469177246
31170,good,3,13,cache,"I've been watching the development of this for years. Its solid design, impressively comprehensive, and useful without having to make purchases. The donation based membership cost provides functions that need server support only, and its the work of (as far as I know) one man. If you are serious about learning Japanese, it is the singular source you need to pass all proficiency exam levels.",65,0.9856,0.0024,positive,"Text, Text, Text","▁exam, ▁solid, ▁interface",0.9934999346733093,0.9942529797554016,0.0007530450820922852,0.48063600063323975,1.0,"Text, Text, Text",0.0028132200241088867
31170,good,4,4,cache,"I can tell, right off the bat, that this app is going to be my go-to for learning and practicing Japanese. I feel like I'm going to get lost in all of the ways I can learn with this app! From listening, speaking, reading and writing to practicing all of those things at once with flashcards or go to the grammar section or read up on cultural blunders one might make, unawares. There is so much to explore. This is the way language learning software should be made!",88,0.9821,0.0025,positive,"Text, Text, Text","▁to, ▁I, to",0.9955381155014038,0.9952269792556763,0.00031113624572753906,0.5076902508735657,1.0,"Text, Text, Text",0.0019434094429016113
3753,good,0,10,cache,"This app is absolutely fantastic. I've downloaded a few Japanese language apps the past few weeks and I've found some are better for writing practice and others for sentence structure and grammar, but this one is all encompassing. I find it amazing that one person did all of this by themselves and hope that they continue do phenomenal work like this, thank you!!",63,0.9923,0.0014,positive,"Image, Image, Image","▁apps, ▁for, ▁phenomenal",0.9977893829345703,0.9506046772003174,0.04718470573425293,0.4383777976036072,1.0,"Image, Image, Text",0.03743630647659302
3753,good,1,12,cache,I have had JA Sensei for quite some time. It is so comprehensive and helpful. It's like having a Japanese language class for all levels on your phone or computer. The unlimited plan was absolutely worth it. They keep updating and giving more stuff to help you learn. I do use Duolingo as well for more practice but JA Sensei is comprehensive and includes culture which is helpful when speaking a foreign language. I recommend using Duolingo and JA Sensei to get a full experience.,85,0.9916,0.001,positive,"Image, Image, Image","▁to, ▁full, ▁is",0.9983691573143005,0.9597912430763245,0.038577914237976074,0.4565792977809906,1.0,"Image, Image, Text",0.027599036693572998
3753,good,2,11,cache,"I've used this app for years. Super helpful, I love the design and ease of finding what I want. Easy to search and find verb conjugations, adjectives, kanji, and even counters! Irarely use my Japanese dictionaries anywhere. The handwriting program made a huge difference for me! I've only had a problem with it once, years ago. I contacted the developer, they were prompt and helpful! I love that the app is always making new improvements based on users feedback. I use the JA audio book app, too!",87,0.991,0.0012,positive,"Image, Image, Image","▁app, ▁Japanese, ▁Super",0.9981024861335754,0.9529404640197754,0.04516202211380005,0.4397447407245636,1.0,"Image, Image, Image",0.31305694580078125
3753,good,3,13,cache,"I've been watching the development of this for years. Its solid design, impressively comprehensive, and useful without having to make purchases. The donation based membership cost provides functions that need server support only, and its the work of (as far as I know) one man. If you are serious about learning Japanese, it is the singular source you need to pass all proficiency exam levels.",65,0.9856,0.0024,positive,"Image, Image, Image","▁exam, ▁solid, ▁interface",0.9975138902664185,0.9446742534637451,0.05283963680267334,0.4335678517818451,1.0,"Image, Image, Image",0.10243403911590576
3753,good,4,4,cache,"I can tell, right off the bat, that this app is going to be my go-to for learning and practicing Japanese. I feel like I'm going to get lost in all of the ways I can learn with this app! From listening, speaking, reading and writing to practicing all of those things at once with flashcards or go to the grammar section or read up on cultural blunders one might make, unawares. There is so much to explore. This is the way language learning software should be made!",88,0.9821,0.0025,positive,"Image, Image, Image","▁to, ▁I, to",0.9979506134986877,0.9548767805099487,0.043073832988739014,0.4412865936756134,1.0,"Image, Image, Image",0.3116064667701721
3752,good,0,10,cache,"This app is absolutely fantastic. I've downloaded a few Japanese language apps the past few weeks and I've found some are better for writing practice and others for sentence structure and grammar, but this one is all encompassing. I find it amazing that one person did all of this by themselves and hope that they continue do phenomenal work like this, thank you!!",63,0.9923,0.0014,positive,"Icon, Web View, Text","▁apps, ▁for, ▁phenomenal",0.9032868146896362,0.6188033223152161,0.28448349237442017,0.37351927161216736,1.0,"Icon, Text, Web View",0.28448349237442017
3752,good,1,12,cache,I have had JA Sensei for quite some time. It is so comprehensive and helpful. It's like having a Japanese language class for all levels on your phone or computer. The unlimited plan was absolutely worth it. They keep updating and giving more stuff to help you learn. I do use Duolingo as well for more practice but JA Sensei is comprehensive and includes culture which is helpful when speaking a foreign language. I recommend using Duolingo and JA Sensei to get a full experience.,85,0.9916,0.001,positive,"Web View, Icon, Text","▁to, ▁full, ▁is",0.9526683688163757,0.7461051344871521,0.20656323432922363,0.44918063282966614,1.0,"Icon, Text, Web View",0.20656323432922363
3752,good,2,11,cache,"I've used this app for years. Super helpful, I love the design and ease of finding what I want. Easy to search and find verb conjugations, adjectives, kanji, and even counters! Irarely use my Japanese dictionaries anywhere. The handwriting program made a huge difference for me! I've only had a problem with it once, years ago. I contacted the developer, they were prompt and helpful! I love that the app is always making new improvements based on users feedback. I use the JA audio book app, too!",87,0.991,0.0012,positive,"Web View, Icon, Text","▁app, ▁Japanese, ▁Super",0.9422902464866638,0.6818100810050964,0.2604801654815674,0.4466266632080078,1.0,"Icon, Text, Web View",0.2604801654815674
3752,good,3,13,cache,"I've been watching the development of this for years. Its solid design, impressively comprehensive, and useful without having to make purchases. The donation based membership cost provides functions that need server support only, and its the work of (as far as I know) one man. If you are serious about learning Japanese, it is the singular source you need to pass all proficiency exam levels.",65,0.9856,0.0024,positive,"Icon, Web View, Text","▁exam, ▁solid, ▁interface",0.8891263008117676,0.5753369331359863,0.31378936767578125,0.35336950421333313,1.0,"Icon, Text, Web View",0.31378936767578125
3752,good,4,4,cache,"I can tell, right off the bat, that this app is going to be my go-to for learning and practicing Japanese. I feel like I'm going to get lost in all of the ways I can learn with this app! From listening, speaking, reading and writing to practicing all of those things at once with flashcards or go to the grammar section or read up on cultural blunders one might make, unawares. There is so much to explore. This is the way language learning software should be made!",88,0.9821,0.0025,positive,"Icon, Web View, Text","▁to, ▁I, to",0.922956645488739,0.6494832634925842,0.2734733819961548,0.41804933547973633,1.0,"Icon, Text, Web View",0.2734733819961548
31171,good,0,10,cache,"This app is absolutely fantastic. I've downloaded a few Japanese language apps the past few weeks and I've found some are better for writing practice and others for sentence structure and grammar, but this one is all encompassing. I find it amazing that one person did all of this by themselves and hope that they continue do phenomenal work like this, thank you!!",63,0.9923,0.0014,positive,"Text, Icon, Icon","▁apps, ▁for, ▁phenomenal",0.9320396184921265,0.9152097702026367,0.016829848289489746,0.531623899936676,1.0,"Icon, Text, Text",0.05124211311340332
