screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
12687,bad,0,Background Image,19238.166015625,0.41093143403163446,90.04,"[0, 0, 224, 209]"
12687,bad,1,Icon,183.31690979003906,0.26800717805561264,0.86,"[74, 174, 112, 192]"
12687,bad,2,Icon,175.20372009277344,0.2630686487879481,0.82,"[37, 174, 74, 192]"
12687,bad,3,Image,175.13778686523438,0.26296964994779937,0.82,"[112, 174, 149, 192]"
12687,bad,4,Image,167.55535888671875,0.25158462295303113,0.78,"[0, 174, 37, 192]"
12687,bad,5,Image,368.81646728515625,0.2276644859784915,1.73,"[141, 0, 195, 30]"
12687,bad,6,Icon,110.91519165039062,0.16653932680238834,0.52,"[149, 174, 186, 192]"
12687,bad,7,Image,437.6978759765625,0.13026722499302457,2.05,"[0, 193, 224, 208]"
12687,bad,8,Web View,437.6978759765625,0.13026722499302457,2.05,"[0, 193, 224, 208]"
12687,bad,9,Image,72.76211547851562,0.10637736181069536,0.34,"[186, 174, 224, 192]"
12688,bad,0,Background Image,18595.11328125,0.39719568697133456,99.88,"[0, 0, 224, 209]"
12688,bad,1,Icon,21.970684051513672,0.2241906535868742,0.12,"[210, 0, 224, 7]"
12689,bad,0,Web View,23460.556640625,0.5011226213393926,49.62,"[0, 0, 224, 209]"
12689,bad,1,Background Image,23460.556640625,0.5011226213393926,49.62,"[0, 0, 224, 209]"
12689,bad,2,Icon,190.644287109375,0.2787197179961623,0.4,"[68, 0, 104, 19]"
12689,bad,3,Icon,95.49427795410156,0.13961151747675668,0.2,"[16, 0, 52, 19]"
12689,bad,4,Icon,47.09428405761719,0.07081847226709352,0.1,"[172, 0, 207, 19]"
12689,bad,5,Icon,29.84429931640625,0.044878645588580825,0.06,"[120, 0, 155, 19]"
12690,bad,0,Icon,93.7969970703125,0.5210944281684028,72.99,"[6, 9, 24, 19]"
12690,bad,1,Icon,20.242454528808594,0.5060613632202149,15.75,"[0, 12, 8, 17]"
12690,bad,2,Text Button,14.466438293457031,0.028365565281288297,11.26,"[190, 7, 224, 22]"
12691,bad,0,Web View,18935.5859375,0.40446825737995556,99.25,"[0, 0, 224, 209]"
12691,bad,1,Icon,142.85195922851562,0.3527208869839892,0.75,"[0, 0, 27, 15]"
12692,bad,0,Image,11505.5078125,0.48917975393282315,28.52,"[0, 0, 224, 105]"
12692,bad,1,Background Image,20651.546875,0.44112155833475736,51.2,"[0, 0, 224, 209]"
12692,bad,2,Image,1841.436279296875,0.4385416240287866,4.56,"[1, 106, 222, 125]"
12692,bad,3,Image,1810.75341796875,0.43123444104995234,4.49,"[1, 127, 222, 146]"
12692,bad,4,Image,1629.238525390625,0.4095622235773316,4.04,"[1, 148, 222, 166]"
12692,bad,5,Image,1559.4796142578125,0.3713930969892385,3.87,"[1, 168, 222, 187]"
12692,bad,6,Image,1340.672607421875,0.31928378362035603,3.32,"[1, 189, 222, 208]"
12693,bad,0,Text,234.74969482421875,0.5434020713523582,57.98,"[26, 10, 80, 18]"
12693,bad,1,Icon,77.26112365722656,0.4292284647623698,19.08,"[6, 9, 24, 19]"
12693,bad,2,Text Button,92.84588623046875,0.1820507573146446,22.93,"[190, 7, 224, 22]"
12694,bad,0,Icon,10.675098419189453,0.1026451771075909,2.56,"[8, 131, 21, 139]"
12694,bad,1,Icon,7.549858093261719,0.08296547355232659,1.81,"[13, 187, 26, 194]"
12694,bad,2,Text,260.0318908691406,0.07027888942409206,62.34,"[39, 125, 224, 145]"
12694,bad,3,Icon,2.7617266178131104,0.04248810181250939,0.66,"[13, 204, 26, 209]"
12694,bad,4,Text,104.57772827148438,0.02746263872675535,25.07,"[0, 165, 224, 182]"
12694,bad,5,Text Button,13.145377159118652,0.01622886069026994,3.15,"[121, 147, 175, 162]"
12694,bad,6,Text Button,9.843040466308594,0.015623873756045388,2.36,"[175, 147, 217, 162]"
12694,bad,7,Text,7.966394901275635,0.008492958316924985,1.91,"[39, 187, 173, 194]"
12694,bad,8,Text,0.5461577773094177,0.0023240756481251817,0.13,"[39, 204, 86, 209]"
