screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
12687,bad,0,7,cache,With ads popping up every 7 secs you can't even use it... And we are talking 15 sec video ads.,20,0.0053,0.9838,negative,"Background Image, Image, Icon","▁popping, ▁interface, ▁video",0.00014463312982115895,0.06832906603813171,0.06818443290831055,0.3817256987094879,1.0,"Icon, Image, Image",8.936657104641199e-05
12687,bad,1,9,cache,"But, tried it againa and too many videos you have to watch and pop up surveys",16,0.0065,0.9859,negative,"Background Image, Icon, Image","▁But, ▁interface, ▁pop",0.00014089129399508238,0.06584227830171585,0.06570138700772077,0.3865394592285156,1.0,"Icon, Image, Image",8.749189146328717e-05
12687,bad,2,0,cache,"This was a decent app at one point, but now there way too many adds.",15,0.0143,0.9643,negative,"Background Image, Image, Icon","▁This, ▁app, ▁at",0.00018749003356788307,0.08409001678228378,0.0839025267487159,0.3757321238517761,1.0,"Icon, Image, Image",0.00010686619498301297
12687,bad,3,6,cache,"Didn't even use the app, before letting me do any of the apps function it made me watch 20'' adds and videos,  uninstall for sure",25,0.034,0.8346,negative,"Background Image, Image, Icon","▁Didn, ▁the, ▁app",0.0001775222335709259,0.08178583532571793,0.081608313092147,0.3771606683731079,1.0,"Icon, Image, Image",9.983386553358287e-05
12687,bad,4,8,cache,It would be a fun app if u could play it without 20sec ads every 5 seconds,17,0.482,0.257,positive,"Background Image, Image, Image","▁It, ▁ads, ▁app",0.000278088467894122,0.11628762632608414,0.11600953785819001,0.3682548403739929,1.0,"Image, Icon, Image",0.0001495442120358348
12688,bad,0,7,cache,With ads popping up every 7 secs you can't even use it... And we are talking 15 sec video ads.,20,0.0053,0.9838,negative,"Background Image, Icon","▁popping, ▁interface, ▁video",0.0017787555698305368,0.11733169853687286,0.11555294296704233,0.3626205623149872,1.0,"Icon, Background Image",0.11555294296704233
12688,bad,1,9,cache,"But, tried it againa and too many videos you have to watch and pop up surveys",16,0.0065,0.9859,negative,"Background Image, Icon","▁But, ▁interface, ▁pop",0.0016743761952966452,0.11586910486221313,0.11419472866691649,0.36363598704338074,1.0,"Icon, Background Image",0.11419472866691649
12688,bad,2,0,cache,"This was a decent app at one point, but now there way too many adds.",15,0.0143,0.9643,negative,"Background Image, Icon","▁This, ▁app, ▁at",0.002466758945956826,0.14314091205596924,0.1406741531100124,0.37062564492225647,1.0,"Icon, Background Image",0.1406741531100124
12688,bad,3,6,cache,"Didn't even use the app, before letting me do any of the apps function it made me watch 20'' adds and videos,  uninstall for sure",25,0.034,0.8346,negative,"Background Image, Icon","▁Didn, ▁the, ▁app",0.0022946116514503956,0.1388142704963684,0.136519658844918,0.36660948395729065,1.0,"Icon, Background Image",0.136519658844918
12688,bad,4,8,cache,It would be a fun app if u could play it without 20sec ads every 5 seconds,17,0.482,0.257,positive,"Background Image, Icon","▁It, ▁ads, ▁app",0.003777503501623869,0.19306711852550507,0.1892896150238812,0.3474217355251312,1.0,"Icon, Background Image",0.1892896150238812
12689,bad,0,7,cache,With ads popping up every 7 secs you can't even use it... And we are talking 15 sec video ads.,20,0.0053,0.9838,negative,"Web View, Background Image, Icon","▁popping, ▁interface, ▁video",0.00411855336278677,0.11535029858350754,0.11123174522072077,0.483344167470932,1.0,"Icon, Web View, Background Image",0.11123174522072077
12689,bad,1,9,cache,"But, tried it againa and too many videos you have to watch and pop up surveys",16,0.0065,0.9859,negative,"Web View, Background Image, Icon","▁But, ▁interface, ▁pop",0.003992699086666107,0.11339952051639557,0.10940682142972946,0.48381170630455017,1.0,"Icon, Icon, Web View",0.10940682142972946
12689,bad,2,0,cache,"This was a decent app at one point, but now there way too many adds.",15,0.0143,0.9643,negative,"Web View, Background Image, Icon","▁This, ▁app, ▁at",0.006458616815507412,0.14035634696483612,0.1338977301493287,0.47197622060775757,1.0,"Icon, Icon, Icon",0.006245160475373268
12689,bad,3,6,cache,"Didn't even use the app, before letting me do any of the apps function it made me watch 20'' adds and videos,  uninstall for sure",25,0.034,0.8346,negative,"Web View, Background Image, Icon","▁Didn, ▁the, ▁app",0.005591950379312038,0.13584817945957184,0.1302562290802598,0.4688358008861542,1.0,"Icon, Icon, Icon",0.0059660617262125015
12689,bad,4,8,cache,It would be a fun app if u could play it without 20sec ads every 5 seconds,17,0.482,0.257,positive,"Web View, Background Image, Icon","▁It, ▁ads, ▁app",0.011279354803264141,0.1897781491279602,0.17849879432469606,0.4323313236236572,1.0,"Icon, Icon, Icon",0.010579503141343594
12690,bad,0,7,cache,With ads popping up every 7 secs you can't even use it... And we are talking 15 sec video ads.,20,0.0053,0.9838,negative,"Icon, Icon, Text Button","▁popping, ▁interface, ▁video",0.003705113660544157,0.0026011790614575148,0.0011039345990866423,0.3680752217769623,1.0,"Icon, Icon, Text Button",0.0011039345990866423
