screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
67942,bad,0,Web View,1304.832763671875,0.4970791480654762,6.66,"[24, 0, 199, 15]"
67942,bad,1,Image,14551.326171875,0.4480088107104372,74.33,"[0, 16, 224, 161]"
67942,bad,2,Image,1467.634521484375,0.2697857576258042,7.5,"[64, 120, 224, 154]"
67942,bad,3,Web View,83.10861206054688,0.18551029477800643,0.42,"[0, 161, 224, 163]"
67942,bad,4,Web View,1817.1793212890625,0.1763566887896994,9.28,"[0, 163, 224, 209]"
67942,bad,5,Image,353.67547607421875,0.1625346856958726,1.81,"[0, 120, 64, 154]"
67943,bad,0,Icon,373.9267883300781,0.5935345846509177,9.1,"[77, 191, 112, 209]"
67943,bad,1,Icon,339.8414611816406,0.5552965051987592,8.27,"[112, 191, 146, 209]"
67943,bad,2,Icon,295.04833984375,0.5423682717715993,7.18,"[128, 33, 160, 50]"
67943,bad,3,Image,292.8499755859375,0.5383271610035616,7.12,"[96, 33, 128, 50]"
67943,bad,4,Image,269.35015869140625,0.49512896818273205,6.55,"[64, 33, 96, 50]"
67943,bad,5,Image,248.8171844482422,0.45738453023573933,6.05,"[32, 33, 64, 50]"
67943,bad,6,Image,244.35992431640625,0.44919103734633503,5.94,"[0, 33, 32, 50]"
67943,bad,7,Image,185.4268798828125,0.34085823507869945,4.51,"[96, 16, 128, 33]"
67943,bad,8,Image,181.69912719726562,0.33400574852438536,4.42,"[64, 16, 96, 33]"
67943,bad,9,Icon,188.68544006347656,0.30830954258738,4.59,"[146, 191, 180, 209]"
67943,bad,10,Image,153.70004272460938,0.2825368432437672,3.74,"[32, 16, 64, 33]"
67943,bad,11,Icon,142.25778198242188,0.2615032757029814,3.46,"[128, 16, 160, 33]"
67943,bad,12,Icon,140.03036499023438,0.257408759173225,3.41,"[0, 16, 32, 33]"
67943,bad,13,Image,220.9545135498047,0.23016095161437988,5.38,"[160, 16, 224, 31]"
67943,bad,14,Web View,648.1788940429688,0.19291038513183595,15.77,"[0, 0, 224, 15]"
67943,bad,15,Icon,102.07038116455078,0.18762937714071834,2.48,"[192, 33, 224, 50]"
67943,bad,16,Image,83.45675659179688,0.1534131554996266,2.03,"[192, 16, 224, 33]"
67944,bad,0,Text Button,287.1113586425781,0.18310673382817483,66.6,"[112, 0, 224, 14]"
67944,bad,1,Text Button,143.97813415527344,0.09182278963984275,33.4,"[0, 0, 112, 14]"
67945,bad,0,Text,341.8479309082031,0.7913146548800998,58.1,"[26, 10, 80, 18]"
67945,bad,1,Icon,135.12725830078125,0.7507069905598959,22.96,"[6, 9, 24, 19]"
67945,bad,2,Text Button,111.44769287109375,0.21852488798253678,18.94,"[190, 7, 224, 22]"
67946,bad,0,Image,947.246337890625,0.8970135775479403,5.57,"[46, 58, 90, 82]"
67946,bad,1,Image,918.435791015625,0.8899571618368459,5.4,"[90, 58, 133, 82]"
67946,bad,2,Image,883.78662109375,0.8221270893895349,5.19,"[90, 82, 133, 107]"
67946,bad,3,Image,864.8847045898438,0.7862588223544034,5.08,"[46, 82, 90, 107]"
67946,bad,4,Image,699.767333984375,0.6780691220778827,4.11,"[90, 107, 133, 131]"
67946,bad,5,Image,710.6810913085938,0.6729934576785925,4.18,"[2, 58, 46, 82]"
67946,bad,6,Image,733.7723388671875,0.667065762606534,4.31,"[133, 82, 177, 107]"
67946,bad,7,Image,703.385009765625,0.6660842895507812,4.13,"[133, 58, 177, 82]"
67946,bad,8,Text,359.7519836425781,0.6344832163008433,2.11,"[2, 34, 65, 43]"
67946,bad,9,Image,664.42724609375,0.6291924678918087,3.91,"[46, 107, 90, 131]"
67946,bad,10,Text,213.76504516601562,0.6214100150174873,1.26,"[2, 50, 45, 58]"
67946,bad,11,Slider,962.1013793945312,0.6167316534580328,5.65,"[65, 34, 221, 44]"
67946,bad,12,Image,647.7233276367188,0.5888393887606534,3.81,"[2, 82, 46, 107]"
67946,bad,13,Image,593.1386108398438,0.5616842905680338,3.49,"[133, 107, 177, 131]"
67946,bad,14,Input,1297.6156005859375,0.493765449233614,7.63,"[2, 9, 221, 21]"
67946,bad,15,Text,131.89585876464844,0.483135013789921,0.78,"[2, 27, 41, 34]"
67946,bad,16,Image,448.5870666503906,0.4247983585704457,2.64,"[2, 107, 46, 131]"
67946,bad,17,Radio Button,771.788818359375,0.352414985552226,4.54,"[2, 145, 221, 155]"
67946,bad,18,Radio Button,693.1322021484375,0.3516652471580099,4.07,"[2, 155, 221, 164]"
67946,bad,19,Radio Button,768.7509765625,0.35102784317922375,4.52,"[2, 164, 221, 174]"
67946,bad,20,Text,52.363746643066406,0.34449833317806844,0.31,"[2, 1, 21, 9]"
67946,bad,21,Image,355.39337158203125,0.33654675339207507,2.09,"[177, 58, 221, 82]"
67946,bad,22,Radio Button,723.8340454101562,0.33051782895440923,4.25,"[2, 174, 221, 184]"
67946,bad,23,Text,99.22166442871094,0.3263870540418123,0.58,"[2, 137, 40, 145]"
67946,bad,24,Image,348.3673095703125,0.31669755415482953,2.05,"[177, 82, 221, 107]"
67946,bad,25,Image,283.31329345703125,0.2682891036524917,1.67,"[177, 107, 221, 131]"
67946,bad,26,Radio Button,699.2430419921875,0.2660742168920044,4.11,"[2, 184, 221, 196]"
67946,bad,27,Radio Button,437.3035888671875,0.19968200404894407,2.57,"[2, 196, 221, 206]"
67947,bad,0,Background Image,18600.263671875,0.3973057004416225,99.88,"[0, 0, 224, 209]"
67947,bad,1,Icon,22.078094482421875,0.22528667839205996,0.12,"[210, 0, 224, 7]"
67948,bad,0,Text,242.92190551757812,0.8523575632195723,1.71,"[22, 161, 79, 166]"
67948,bad,1,Text,234.7675018310547,0.823745620459841,1.65,"[83, 161, 140, 166]"
67948,bad,2,Image,1344.248291015625,0.8132173569362523,9.44,"[22, 132, 79, 161]"
67948,bad,3,Image,1342.35888671875,0.8120743416326376,9.43,"[83, 132, 140, 161]"
67948,bad,4,Image,1243.5587158203125,0.7791721277069628,8.73,"[22, 168, 79, 196]"
67948,bad,5,Image,1164.33056640625,0.729530430079104,8.18,"[83, 168, 140, 196]"
67948,bad,6,Text,197.76605224609375,0.6939159727933114,1.39,"[83, 125, 140, 130]"
67948,bad,7,Text,194.5453338623047,0.6826152065344024,1.37,"[22, 125, 79, 130]"
67948,bad,8,Image,947.3111572265625,0.5730859995321007,6.65,"[83, 96, 140, 125]"
67948,bad,9,Image,897.8526611328125,0.543165554224327,6.3,"[22, 96, 79, 125]"
67948,bad,10,Text,144.153564453125,0.5058019805372806,1.01,"[83, 89, 140, 94]"
67948,bad,11,Text,136.65066528320312,0.47947601853755484,0.96,"[144, 161, 201, 166]"
67948,bad,12,Image,746.4505004882812,0.4515732005373752,5.24,"[144, 132, 201, 161]"
67948,bad,13,Image,702.66259765625,0.4402647854989035,4.93,"[144, 168, 201, 196]"
67948,bad,14,Image,719.267578125,0.4351286014065336,5.05,"[83, 60, 140, 89]"
67948,bad,15,Text,119.20240020751953,0.418254035815858,0.84,"[22, 89, 79, 94]"
67948,bad,16,Text,116.45262145996094,0.4086056893331963,0.82,"[144, 125, 201, 130]"
67948,bad,17,Text,108.01897430419922,0.3790139449270148,0.76,"[144, 89, 201, 94]"
67948,bad,18,Image,626.2757568359375,0.3788722061923397,4.4,"[144, 96, 201, 125]"
67948,bad,19,Image,602.3507690429688,0.3643985293665873,4.23,"[144, 60, 201, 89]"
67948,bad,20,Image,551.005859375,0.3333368780248034,3.87,"[22, 60, 79, 89]"
67948,bad,21,Text,90.76004028320312,0.31845628169544954,0.64,"[83, 53, 140, 58]"
67948,bad,22,Text,90.05531311035156,0.31598355477316337,0.63,"[144, 53, 201, 58]"
67948,bad,23,Image,465.0074462890625,0.2813112197755974,3.27,"[144, 24, 201, 53]"
67948,bad,24,Text,75.76289367675781,0.26583471465529057,0.53,"[22, 53, 79, 58]"
67948,bad,25,Image,378.24395751953125,0.22882272082246294,2.66,"[83, 24, 140, 53]"
67948,bad,26,Icon,147.201171875,0.20275643508953167,1.03,"[191, 0, 224, 22]"
67948,bad,27,Image,317.84307861328125,0.19228256419436252,2.23,"[22, 24, 79, 53]"
67948,bad,28,Text,294.45941162109375,0.1609067823066086,2.07,"[20, 13, 203, 23]"
67949,bad,0,Text,1332.788330078125,0.36021306218327703,64.78,"[39, 125, 224, 145]"
67949,bad,1,Text Button,165.33706665039062,0.20411983537085263,8.04,"[121, 147, 175, 162]"
