screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
49610,good,0,16,cache,"Excellent app, I've been using it almost every day for a month now. When I open it, I can go straight to reviewing or learning, which I love. A clean interface too, no ads or clutter, so it's easy to navigate and easy on the eyes. The upgrades seemed expensive at first, but after using it for a month and getting through the free 100 Kanji, the ease of use and absence of ads or clutter made the pricing feel completely fair.",82,0.9958,0.0014,positive,"Text, Text, Text","▁or, ▁easy, ▁seemed",0.9717512726783752,0.964279294013977,0.007471978664398193,0.5700247883796692,1.0,"Text, Icon, Text",0.006324112415313721
49610,good,1,5,cache,"Genuinely useful tools for learning kanji, with further access unlocked through one-time payments rather than subscription, and wrapped with a clean & functional UI. I don't even use it at the moment and got a refund by emailing the developer over a month after the purchase ... but when I will need it, I know I'm coming back!",58,0.9935,0.0022,positive,"Text, Text, Text","▁unlocked, ▁further, ▁it",0.9545192122459412,0.9414513111114502,0.013067901134490967,0.5439516305923462,1.0,"Text, Icon, Text",0.01256871223449707
49610,good,2,15,cache,"What an incredible and convenient way to learn Japanese kanji in the convenience of your phone. Thank you so much for taking the time to make this app with integrated study tools and additional info on strokes, customizations, and so on. This app is amazing and I can't wait to show anyone interested in learning Japanese.",56,0.9919,0.0012,positive,"Text, Text, Text","▁What, ▁wait, ▁so",0.9816377758979797,0.9812464118003845,0.00039136409759521484,0.5985531210899353,1.0,"Text, Icon, Text",0.005240380764007568
49610,good,3,19,cache,"The best surprise I've ever run across in an app. Impressively thorough with meanings, readings, grammar notes, and usage examples. Easy to navigate and well organized, super customizable, and has plenty of ways to practice and learn. Even includes an extensive, searchable Japanese/English dictionary. Well worth the money to unlock all characters. I literally cannot recommend this app enough.",59,0.9919,0.0012,positive,"Text, Text, Text","▁ways, ▁unlock, ▁The",0.9842081665992737,0.9846049547195435,0.0003967881202697754,0.6043609976768494,1.0,"Text, Icon, Text",0.0043929219245910645
49610,good,4,12,cache,"Very useful app! Worth every penny. This is the most all encompassing kanji app I've found. Being able to create custom sets makes it like Anki, and being able to draw the. Characters, do flash cards style and so much more. The kanji history. I mean, it's ALL here. More info than you probably ever need. There is no better app to pair with what you're using to learn Japanese. I use Human Japanese app (which doesn't teach kanji, just sentence structure and Grammer) and this. They pair perfectly.",89,0.9911,0.0014,positive,"Text, Text, Icon","▁cards, ▁Very, ve",0.9805740714073181,0.9800366759300232,0.0005373954772949219,0.6083439588546753,1.0,"Text, Icon, Text",0.004826545715332031
49605,good,0,16,cache,"Excellent app, I've been using it almost every day for a month now. When I open it, I can go straight to reviewing or learning, which I love. A clean interface too, no ads or clutter, so it's easy to navigate and easy on the eyes. The upgrades seemed expensive at first, but after using it for a month and getting through the free 100 Kanji, the ease of use and absence of ads or clutter made the pricing feel completely fair.",82,0.9958,0.0014,positive,"Icon, Icon, Icon","▁or, ▁easy, ▁seemed",0.9620441198348999,0.9695450067520142,0.007500886917114258,0.3589778542518616,1.0,"Text, Text, Icon",0.0008422136306762695
49605,good,1,5,cache,"Genuinely useful tools for learning kanji, with further access unlocked through one-time payments rather than subscription, and wrapped with a clean & functional UI. I don't even use it at the moment and got a refund by emailing the developer over a month after the purchase ... but when I will need it, I know I'm coming back!",58,0.9935,0.0022,positive,"Icon, Icon, Icon","▁unlocked, ▁further, ▁it",0.9412863254547119,0.9512072205543518,0.009920895099639893,0.32069724798202515,1.0,"Text, Text, Text",0.006943106651306152
49605,good,2,15,cache,"What an incredible and convenient way to learn Japanese kanji in the convenience of your phone. Thank you so much for taking the time to make this app with integrated study tools and additional info on strokes, customizations, and so on. This app is amazing and I can't wait to show anyone interested in learning Japanese.",56,0.9919,0.0012,positive,"Icon, Icon, Icon","▁What, ▁wait, ▁so",0.9718395471572876,0.9794651865959167,0.00762563943862915,0.3843817412853241,1.0,"Text, Text, Icon",0.00023931264877319336
49605,good,3,19,cache,"The best surprise I've ever run across in an app. Impressively thorough with meanings, readings, grammar notes, and usage examples. Easy to navigate and well organized, super customizable, and has plenty of ways to practice and learn. Even includes an extensive, searchable Japanese/English dictionary. Well worth the money to unlock all characters. I literally cannot recommend this app enough.",59,0.9919,0.0012,positive,"Icon, Icon, Icon","▁ways, ▁unlock, ▁The",0.975881814956665,0.9836980104446411,0.007816195487976074,0.3937813937664032,1.0,"Text, Text, Icon",0.01158154010772705
49605,good,4,12,cache,"Very useful app! Worth every penny. This is the most all encompassing kanji app I've found. Being able to create custom sets makes it like Anki, and being able to draw the. Characters, do flash cards style and so much more. The kanji history. I mean, it's ALL here. More info than you probably ever need. There is no better app to pair with what you're using to learn Japanese. I use Human Japanese app (which doesn't teach kanji, just sentence structure and Grammer) and this. They pair perfectly.",89,0.9911,0.0014,positive,"Icon, Icon, Icon","▁cards, ▁Very, ve",0.9717593789100647,0.9793972373008728,0.0076378583908081055,0.3868381381034851,1.0,"Text, Text, Icon",5.716085433959961e-05
