screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
63954,good,0,18,cache,"I have to give these guys props for the effort and technology behind this app. This is really awesome stuff!!! Check it out!!! You'll be amazed!!! Great job guys!!! Keep up the good work!!! Just watched ISS flyover Concord CA. Awesome! Radar worked perfectly. I love this app! Check out street view of ISS. It shows everything, and has key points of all the modules and equipment. Fascinating!!!",68,0.99192375,0.0012706956,positive,"Text Button, Text, Icon","▁to, ▁points, ▁I",0.9844978451728821,0.9843173027038574,0.0001805424690246582,0.6406315565109253,1.0,"Web View, Text, Text",0.03408855199813843
63954,good,1,5,cache,"Absolutely love the app, the only thing I would suggest is maybe adding a notification when the International Space Station is about to fly overhead, so one can see it on a clear night if they wanted to... Other than that absolutely love this application!! 5 stars... and they added it.. hands down best ISS tracker out there!! bar none!! 6 ******",62,0.9886234,0.00292348,positive,"Text Button, Text, Icon","▁Absolutely, ▁the, ▁interface",0.9656227231025696,0.9700462818145752,0.004423558712005615,0.5924506783485413,1.0,"Web View, Text, Text",0.04093283414840698
63954,good,2,12,cache,"ISS LIVE is very unique and super special. It's beautiful that anyone can have access to a wonderful tool and get a wide range of knowledgeable information and an awesome view of live Earth at any given moment, and have a super great experience of what ISS IS LIKE. It's perfect for ones who love geology and the study guide of Earth, space, and much more. It's perfect for just spontaneous viewing, teaching, and learning. I love this app. I love seeing Earth from space and the NASA TV.",89,0.9864813,0.0016355078,positive,"Text Button, Text, Icon","▁much, ▁more, ▁guide",0.9882633090019226,0.9881939888000488,6.93202018737793e-05,0.6322495341300964,1.0,"Web View, Text, Text",0.021694064140319824
63954,good,3,16,cache,"This is an amazing app! NOTHING negative here! It's lovely actually seeing what they do up there & watching the interviews with the astronauts at the space station. I also enjoy tracking what continent the station is flying over. Watching the earth & sunrise, sunset is very fascinating! I feel as if I am there at the station, Not on the earth! I get notifications from this app so that I don't miss out on spacewalks & events. I also use this app to go to sleep to! I don't have any problems @ all!",95,0.9864456,0.002091989,positive,"Text Button, Text, Icon","▁sunset, ▁This, ▁enjoy",0.9841948747634888,0.983737051486969,0.0004578232765197754,0.645165205001831,1.0,"Web View, Text, Text",0.03827589750289917
63954,good,4,4,cache,"It's so beautiful, you see what the ISS cameras catch, live and you can take pictures in the app and it's auto saved to your gallery. You can set notifications for when it's going by your location as well as ANY location you'd like. It's seemlessly integrated with a map of the ISS and the world, you can zoom in on either live or map and watch as it goes over cities and landscapes along with the oceans. I recommend to EVERYONE",82,0.986068,0.0016166964,positive,"Text, Text Button, Icon","▁map, ▁either, ▁in",0.9846823215484619,0.9840919971466064,0.0005903244018554688,0.6288748979568481,1.0,"Web View, Text, Text",0.035919249057769775
5536,good,0,18,cache,"I have to give these guys props for the effort and technology behind this app. This is really awesome stuff!!! Check it out!!! You'll be amazed!!! Great job guys!!! Keep up the good work!!! Just watched ISS flyover Concord CA. Awesome! Radar worked perfectly. I love this app! Check out street view of ISS. It shows everything, and has key points of all the modules and equipment. Fascinating!!!",68,0.99192375,0.0012706956,positive,"Text, Image, Image","▁to, ▁points, ▁I",0.9737399220466614,0.9694418907165527,0.004298031330108643,0.39390891790390015,1.0,"Text, Icon, Text",0.008248329162597656
5536,good,1,5,cache,"Absolutely love the app, the only thing I would suggest is maybe adding a notification when the International Space Station is about to fly overhead, so one can see it on a clear night if they wanted to... Other than that absolutely love this application!! 5 stars... and they added it.. hands down best ISS tracker out there!! bar none!! 6 ******",62,0.9886234,0.00292348,positive,"Image, Image, Image","▁Absolutely, ▁the, ▁interface",0.9361346364021301,0.888715922832489,0.04741871356964111,0.36899083852767944,1.0,"Icon, Text, Image",0.008101880550384521
5536,good,2,12,cache,"ISS LIVE is very unique and super special. It's beautiful that anyone can have access to a wonderful tool and get a wide range of knowledgeable information and an awesome view of live Earth at any given moment, and have a super great experience of what ISS IS LIKE. It's perfect for ones who love geology and the study guide of Earth, space, and much more. It's perfect for just spontaneous viewing, teaching, and learning. I love this app. I love seeing Earth from space and the NASA TV.",89,0.9864813,0.0016355078,positive,"Text, Image, Image","▁much, ▁more, ▁guide",0.982379138469696,0.9795188307762146,0.0028603076934814453,0.4071527123451233,1.0,"Text, Text, Text",0.007017016410827637
5536,good,3,16,cache,"This is an amazing app! NOTHING negative here! It's lovely actually seeing what they do up there & watching the interviews with the astronauts at the space station. I also enjoy tracking what continent the station is flying over. Watching the earth & sunrise, sunset is very fascinating! I feel as if I am there at the station, Not on the earth! I get notifications from this app so that I don't miss out on spacewalks & events. I also use this app to go to sleep to! I don't have any problems @ all!",95,0.9864456,0.002091989,positive,"Text, Image, Image","▁sunset, ▁This, ▁enjoy",0.9716089367866516,0.9669969081878662,0.0046120285987854,0.3683936893939972,1.0,"Text, Icon, Text",0.006993412971496582
5536,good,4,4,cache,"It's so beautiful, you see what the ISS cameras catch, live and you can take pictures in the app and it's auto saved to your gallery. You can set notifications for when it's going by your location as well as ANY location you'd like. It's seemlessly integrated with a map of the ISS and the world, you can zoom in on either live or map and watch as it goes over cities and landscapes along with the oceans. I recommend to EVERYONE",82,0.986068,0.0016166964,positive,"Text, Image, Image","▁map, ▁either, ▁in",0.9727610945701599,0.9684703350067139,0.004290759563446045,0.3750239908695221,1.0,"Text, Icon, Text",0.0066414475440979
5537,good,0,18,cache,"I have to give these guys props for the effort and technology behind this app. This is really awesome stuff!!! Check it out!!! You'll be amazed!!! Great job guys!!! Keep up the good work!!! Just watched ISS flyover Concord CA. Awesome! Radar worked perfectly. I love this app! Check out street view of ISS. It shows everything, and has key points of all the modules and equipment. Fascinating!!!",68,0.99192375,0.0012706956,positive,"Text, Image, Text","▁to, ▁points, ▁I",0.9909920692443848,0.9374339580535889,0.0535581111907959,0.30878108739852905,1.0,"Text, Text, Text",0.0027747750282287598
5537,good,1,5,cache,"Absolutely love the app, the only thing I would suggest is maybe adding a notification when the International Space Station is about to fly overhead, so one can see it on a clear night if they wanted to... Other than that absolutely love this application!! 5 stars... and they added it.. hands down best ISS tracker out there!! bar none!! 6 ******",62,0.9886234,0.00292348,positive,"Text, Image, Text","▁Absolutely, ▁the, ▁interface",0.9843282699584961,0.8387326598167419,0.14559561014175415,0.3046233057975769,1.0,"Text, Text, Text",0.0032076239585876465
5537,good,2,12,cache,"ISS LIVE is very unique and super special. It's beautiful that anyone can have access to a wonderful tool and get a wide range of knowledgeable information and an awesome view of live Earth at any given moment, and have a super great experience of what ISS IS LIKE. It's perfect for ones who love geology and the study guide of Earth, space, and much more. It's perfect for just spontaneous viewing, teaching, and learning. I love this app. I love seeing Earth from space and the NASA TV.",89,0.9864813,0.0016355078,positive,"Text, Image, Text","▁much, ▁more, ▁guide",0.9932150840759277,0.9545771479606628,0.03863793611526489,0.3278898596763611,1.0,"Text, Text, Text",0.002367377281188965
5537,good,3,16,cache,"This is an amazing app! NOTHING negative here! It's lovely actually seeing what they do up there & watching the interviews with the astronauts at the space station. I also enjoy tracking what continent the station is flying over. Watching the earth & sunrise, sunset is very fascinating! I feel as if I am there at the station, Not on the earth! I get notifications from this app so that I don't miss out on spacewalks & events. I also use this app to go to sleep to! I don't have any problems @ all!",95,0.9864456,0.002091989,positive,"Text, Image, Text","▁sunset, ▁This, ▁enjoy",0.9902428984642029,0.9303910136222839,0.059851884841918945,0.3118034601211548,1.0,"Text, Text, Text",0.0028391480445861816
5537,good,4,4,cache,"It's so beautiful, you see what the ISS cameras catch, live and you can take pictures in the app and it's auto saved to your gallery. You can set notifications for when it's going by your location as well as ANY location you'd like. It's seemlessly integrated with a map of the ISS and the world, you can zoom in on either live or map and watch as it goes over cities and landscapes along with the oceans. I recommend to EVERYONE",82,0.986068,0.0016166964,positive,"Text, Image, Text","▁map, ▁either, ▁in",0.9906189441680908,0.935255765914917,0.05536317825317383,0.31300899386405945,1.0,"Text, Text, Text",0.002928495407104492
