screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
5231,good,0,5,cache,"I love this app. It's new to me but my favorite features are the ability to change font so I can read it even if I forget my reading glasses and how it tracks my progress. I am still trying to figure out how to add my favourite verses so a little""how to use guide"" would be helpful in that subject alone, the rest of the app. is very easy to use.",72,0.9924,0.0016,positive,"Text Button, Image, Text Button","▁I, ▁features, ▁reading",0.9444559812545776,0.91029292345047,0.034163057804107666,0.46903589367866516,1.0,"Image, Text Button, Text Button",0.049586474895477295
5231,good,1,18,cache,"Have installed your app and just begun to read. So far I have enjoyed reading the text. The app has been easy to use. The print size was easy to adjust. Over all I have really enjoyed reading the bible on your app. If anyone is interested in a good bible app, this is the one you need!!!",58,0.9919,0.0009,positive,"Image, Text Button, Text Button","▁easy, ▁easy, ▁I",0.9533992409706116,0.9154669046401978,0.03793233633041382,0.47087329626083374,1.0,"Image, Text Button, Text Button",0.03976404666900635
5231,good,2,13,cache,Since I first found this app. I noticed that it's user friendly and features for highlighting for verse's. It keeps track of Your bible reading progress as well. Plus there's other nice features. I honestly think I've had this app. For seven years and I still use it daily.,49,0.9903,0.0015,positive,"Text Button, Text Button, Image","▁as, ▁nice, ▁progress",0.9191792607307434,0.8343878984451294,0.08479136228561401,0.4385627806186676,1.0,"Image, Text Button, Text Button",0.09034734964370728
5231,good,3,15,cache,This Bible app is a Godsend to me with the books of the Bible reminders to read each day to saving my favorite verses. It helps you keep track of reading through the entire Bible should you desire to do so. It's a 10- star app and a true blessing & Very easy to study the Word!,57,0.9889,0.001,positive,"Text Button, Text Button, Image","▁to, ▁reminders, ▁reading",0.9660564064979553,0.929855227470398,0.03620117902755737,0.48353311419487,1.0,"Image, Text Button, Image",0.0024051666259765625
5231,good,4,8,cache,Great format and features. Free bible for those on a budget. There are ads that play but not often. You can purchase to remove ads... or just turn wifi off before you open the app which will prevent ads being sent thru to your phone. Readable offline obviously. A workaround to save money. But it is a great app and highly worth supporting.,63,0.9844,0.0067,positive,"Image, Text Button, Text Button","▁bible, ▁for, ▁supporting",0.8965784907341003,0.7757821083068848,0.12079638242721558,0.4214518368244171,1.0,"Image, Text Button, Text Button",0.12262260913848877
5232,good,0,5,cache,"I love this app. It's new to me but my favorite features are the ability to change font so I can read it even if I forget my reading glasses and how it tracks my progress. I am still trying to figure out how to add my favourite verses so a little""how to use guide"" would be helpful in that subject alone, the rest of the app. is very easy to use.",72,0.9924,0.0016,positive,"Text, Text, Text","▁I, ▁features, ▁reading",0.9829224348068237,0.9313039779663086,0.05161845684051514,0.45989570021629333,1.0,"Text, Text, Text Button",0.003634929656982422
5232,good,1,18,cache,"Have installed your app and just begun to read. So far I have enjoyed reading the text. The app has been easy to use. The print size was easy to adjust. Over all I have really enjoyed reading the bible on your app. If anyone is interested in a good bible app, this is the one you need!!!",58,0.9919,0.0009,positive,"Text, Text, Text","▁easy, ▁easy, ▁I",0.9851589798927307,0.9378756284713745,0.0472833514213562,0.4696747958660126,1.0,"Text, Text, Text Button",0.0034130215644836426
5232,good,2,13,cache,Since I first found this app. I noticed that it's user friendly and features for highlighting for verse's. It keeps track of Your bible reading progress as well. Plus there's other nice features. I honestly think I've had this app. For seven years and I still use it daily.,49,0.9903,0.0015,positive,"Text, Text, Text","▁as, ▁nice, ▁progress",0.9743510484695435,0.8939980268478394,0.0803530216217041,0.43484675884246826,1.0,"Text, Text, Text Button",0.00494074821472168
5232,good,3,15,cache,This Bible app is a Godsend to me with the books of the Bible reminders to read each day to saving my favorite verses. It helps you keep track of reading through the entire Bible should you desire to do so. It's a 10- star app and a true blessing & Very easy to study the Word!,57,0.9889,0.001,positive,"Text, Text, Text","▁to, ▁reminders, ▁reading",0.9899054169654846,0.954751193523407,0.03515422344207764,0.48604899644851685,1.0,"Text, Text, Text Button",0.0026282072067260742
5232,good,4,8,cache,Great format and features. Free bible for those on a budget. There are ads that play but not often. You can purchase to remove ads... or just turn wifi off before you open the app which will prevent ads being sent thru to your phone. Readable offline obviously. A workaround to save money. But it is a great app and highly worth supporting.,63,0.9844,0.0067,positive,"Text, Text, Text","▁bible, ▁for, ▁supporting",0.9685361981391907,0.8686837553977966,0.09985244274139404,0.4361385107040405,1.0,"Text, Text, Image",0.04087728261947632
5229,good,0,5,cache,"I love this app. It's new to me but my favorite features are the ability to change font so I can read it even if I forget my reading glasses and how it tracks my progress. I am still trying to figure out how to add my favourite verses so a little""how to use guide"" would be helpful in that subject alone, the rest of the app. is very easy to use.",72,0.9924,0.0016,positive,"Text, Text, Text","▁I, ▁features, ▁reading",0.9806987643241882,0.961336612701416,0.019362151622772217,0.48266440629959106,1.0,"Icon, Text, Text",0.00860661268234253
5229,good,1,18,cache,"Have installed your app and just begun to read. So far I have enjoyed reading the text. The app has been easy to use. The print size was easy to adjust. Over all I have really enjoyed reading the bible on your app. If anyone is interested in a good bible app, this is the one you need!!!",58,0.9919,0.0009,positive,"Text, Text, Text","▁easy, ▁easy, ▁I",0.9848286509513855,0.9686471223831177,0.016181528568267822,0.5014473795890808,1.0,"Icon, Text, Text",0.006059825420379639
5229,good,2,13,cache,Since I first found this app. I noticed that it's user friendly and features for highlighting for verse's. It keeps track of Your bible reading progress as well. Plus there's other nice features. I honestly think I've had this app. For seven years and I still use it daily.,49,0.9903,0.0015,positive,"Text, Text, Text","▁as, ▁nice, ▁progress",0.9721072316169739,0.9454357028007507,0.026671528816223145,0.4452784061431885,1.0,"Text, Text, Text",0.0009306073188781738
5229,good,3,15,cache,This Bible app is a Godsend to me with the books of the Bible reminders to read each day to saving my favorite verses. It helps you keep track of reading through the entire Bible should you desire to do so. It's a 10- star app and a true blessing & Very easy to study the Word!,57,0.9889,0.001,positive,"Text, Text, Text","▁to, ▁reminders, ▁reading",0.9893801212310791,0.9827733039855957,0.0066068172454833984,0.5211986899375916,1.0,"Text, Text, Text",0.004961609840393066
5229,good,4,8,cache,Great format and features. Free bible for those on a budget. There are ads that play but not often. You can purchase to remove ads... or just turn wifi off before you open the app which will prevent ads being sent thru to your phone. Readable offline obviously. A workaround to save money. But it is a great app and highly worth supporting.,63,0.9844,0.0067,positive,"Text, Text, Text","▁bible, ▁for, ▁supporting",0.9584176540374756,0.9287301301956177,0.02968752384185791,0.3787044882774353,1.0,"Image, Text, Icon",0.0013096928596496582
5233,good,0,5,cache,"I love this app. It's new to me but my favorite features are the ability to change font so I can read it even if I forget my reading glasses and how it tracks my progress. I am still trying to figure out how to add my favourite verses so a little""how to use guide"" would be helpful in that subject alone, the rest of the app. is very easy to use.",72,0.9924,0.0016,positive,"Web View, Icon, Icon","▁I, ▁features, ▁reading",0.9708073139190674,0.9594252705574036,0.011382043361663818,0.5701122879981995,1.0,"Icon, Web View, Icon",0.011382043361663818
5233,good,1,18,cache,"Have installed your app and just begun to read. So far I have enjoyed reading the text. The app has been easy to use. The print size was easy to adjust. Over all I have really enjoyed reading the bible on your app. If anyone is interested in a good bible app, this is the one you need!!!",58,0.9919,0.0009,positive,"Web View, Icon, Text","▁easy, ▁easy, ▁I",0.975044846534729,0.9496332406997681,0.025411605834960938,0.6077788472175598,1.0,"Icon, Web View, Icon",0.009921371936798096
5233,good,2,13,cache,Since I first found this app. I noticed that it's user friendly and features for highlighting for verse's. It keeps track of Your bible reading progress as well. Plus there's other nice features. I honestly think I've had this app. For seven years and I still use it daily.,49,0.9903,0.0015,positive,"Web View, Icon, Icon","▁as, ▁nice, ▁progress",0.9586876630783081,0.9410275220870972,0.017660140991210938,0.5204441547393799,1.0,"Icon, Web View, Icon",0.017660140991210938
