screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
20610,good,0,Text,836.258544921875,0.8017819222645014,12.39,"[61, 118, 210, 125]"
20610,good,1,Image,72.7765884399414,0.7997427301092462,1.08,"[197, 49, 210, 56]"
20610,good,2,Text,796.1829833984375,0.7633585650991731,11.79,"[61, 80, 210, 87]"
20610,good,3,Text,687.0648803710938,0.65873909910939,10.18,"[61, 193, 210, 200]"
20610,good,4,Text,585.8944702148438,0.6553629420747693,8.68,"[61, 156, 210, 162]"
20610,good,5,Text,627.506103515625,0.6225258963448661,9.29,"[44, 49, 188, 56]"
20610,good,6,Icon,495.2724914550781,0.5772406660315595,7.34,"[13, 148, 52, 170]"
20610,good,7,Image,442.9913330078125,0.5163069149275203,6.56,"[13, 110, 52, 132]"
20610,good,8,Text Button,552.1547241210938,0.49080419921875,8.18,"[74, 24, 149, 39]"
20610,good,9,Icon,409.17974853515625,0.47689947381719844,6.06,"[13, 73, 52, 95]"
20610,good,10,Icon,380.7608642578125,0.44377723106971156,5.64,"[13, 186, 52, 208]"
20610,good,11,Icon,177.01220703125,0.43706717785493826,2.62,"[197, 8, 224, 23]"
20610,good,12,Text,361.5831298828125,0.3674625303687119,5.36,"[8, 11, 131, 19]"
20610,good,13,Text,104.10747528076172,0.3614842891693115,1.54,"[13, 28, 61, 34]"
20610,good,14,Icon,140.38270568847656,0.35995565561147835,2.08,"[171, 8, 197, 23]"
20610,good,15,Image,82.22395324707031,0.3114543683601148,1.22,"[13, 46, 35, 58]"
20605,good,0,Text,1191.48681640625,0.6720173809397914,6.86,"[13, 123, 210, 132]"
20605,good,1,Text,4808.13818359375,0.5811141145266799,27.69,"[13, 137, 210, 179]"
20605,good,2,Image,9936.1533203125,0.5760756795171904,57.22,"[0, 37, 224, 114]"
20605,good,3,Text,290.0711364746094,0.43165347689674016,1.67,"[32, 11, 116, 19]"
20605,good,4,Web View,174.74853515625,0.4262159394054878,1.01,"[9, 207, 214, 209]"
20605,good,5,Text,518.797119140625,0.3921369003330499,2.99,"[8, 28, 197, 35]"
20605,good,6,Icon,145.85455322265625,0.2767638581075071,0.84,"[184, 187, 215, 204]"
20605,good,7,Image,97.50337219238281,0.2500086466471354,0.56,"[171, 8, 197, 23]"
20605,good,8,Icon,21.355859756469727,0.23467977754362337,0.12,"[202, 28, 215, 35]"
20605,good,9,Icon,111.44620513916016,0.21852197086109834,0.64,"[0, 7, 30, 24]"
20605,good,10,Icon,67.90403747558594,0.16766429006317515,0.39,"[197, 8, 224, 23]"
20607,good,0,Text,1360.10888671875,0.6904106023953046,7.67,"[13, 117, 210, 127]"
20607,good,1,Image,10314.11328125,0.6058572181185385,58.14,"[0, 32, 224, 108]"
20607,good,2,Text,4542.1748046875,0.49056861482746517,25.6,"[13, 132, 210, 179]"
20607,good,3,Text,383.5880126953125,0.393020504810771,2.16,"[32, 11, 154, 19]"
20607,good,4,Text,582.86572265625,0.3854932028149802,3.29,"[8, 25, 224, 32]"
20607,good,5,Web View,125.28343200683594,0.30556934635813643,0.71,"[9, 207, 214, 209]"
20607,good,6,Icon,134.15383911132812,0.26304674335554534,0.76,"[0, 7, 30, 24]"
20607,good,7,Icon,136.67779541015625,0.25935065542724145,0.77,"[184, 187, 215, 204]"
20607,good,8,Image,95.65410614013672,0.2452669388208634,0.54,"[171, 8, 197, 23]"
20607,good,9,Icon,66.42945098876953,0.16402333577473957,0.37,"[197, 8, 224, 23]"
20609,good,0,Text,892.78271484375,0.674816866850907,5.45,"[8, 28, 197, 35]"
20609,good,1,Text,176.573974609375,0.630621337890625,1.08,"[32, 11, 67, 19]"
20609,good,2,Image,10452.158203125,0.6059924746709764,63.75,"[0, 37, 224, 114]"
20609,good,3,Icon,220.90994262695312,0.4331567502489277,1.35,"[0, 7, 30, 24]"
20609,good,4,Image,155.70530700683594,0.399244376940605,0.95,"[171, 8, 197, 23]"
20609,good,5,Icon,204.8268280029297,0.38866570778544535,1.25,"[184, 187, 215, 204]"
20609,good,6,Text,914.0763549804688,0.3865016300128832,5.58,"[4, 115, 219, 126]"
20609,good,7,Text,2615.015869140625,0.3792626351182922,15.95,"[13, 151, 210, 186]"
20609,good,8,Text,613.278564453125,0.369444918345256,3.74,"[13, 135, 179, 145]"
20609,good,9,Icon,107.06005096435547,0.26434580485026044,0.65,"[197, 8, 224, 23]"
20609,good,10,Icon,22.202726364135742,0.24398600400149167,0.14,"[197, 136, 210, 143]"
20609,good,11,Icon,20.951711654663086,0.23023858961168225,0.13,"[202, 28, 215, 35]"
20608,good,0,List Item,566.4219970703125,0.6321674074445452,6.75,"[0, 107, 224, 111]"
20608,good,1,Icon,48.82740020751953,0.5365648374452696,0.58,"[17, 111, 30, 118]"
20608,good,2,Icon,298.5054016113281,0.5349559168661794,3.56,"[184, 171, 215, 189]"
20608,good,3,Image,2957.97314453125,0.5025438573787376,35.27,"[57, 40, 166, 94]"
20608,good,4,Text,88.3821792602539,0.4803379307622495,1.05,"[100, 94, 123, 102]"
20608,good,5,Icon,43.54145050048828,0.47847747802734375,0.52,"[17, 121, 30, 128]"
20608,good,6,Text,301.33294677734375,0.47830626472594245,3.59,"[80, 30, 143, 40]"
20608,good,7,Text,272.2996826171875,0.4523250541813746,3.25,"[65, 121, 151, 128]"
20608,good,8,Text,23.89098358154297,0.44242562188042533,0.28,"[51, 112, 60, 118]"
20608,good,9,Text,174.19773864746094,0.43989327941278017,2.08,"[65, 112, 131, 118]"
20608,good,10,Text,243.12362670898438,0.4220896297030979,2.9,"[65, 140, 161, 146]"
20608,good,11,List Item,1969.0194091796875,0.41858405807391313,23.48,"[0, 158, 224, 179]"
20608,good,12,Text,25.644079208374023,0.4070488763233972,0.31,"[51, 121, 60, 128]"
20608,good,13,Text,11.122504234313965,0.37075014114379884,0.13,"[51, 131, 56, 137]"
20608,good,14,Icon,38.37946701049805,0.3690333366394043,0.46,"[202, 31, 215, 39]"
20608,good,15,Text,90.76277160644531,0.36895435612376143,1.08,"[60, 131, 101, 137]"
20608,good,16,Text,18.327144622802734,0.3393915670889395,0.22,"[51, 140, 60, 146]"
20608,good,17,Text,28.025638580322266,0.333638554527646,0.33,"[51, 149, 65, 155]"
20608,good,18,Text,54.09755325317383,0.32200924555460614,0.65,"[69, 149, 97, 155]"
20608,good,19,Text,48.38691329956055,0.2749256437475031,0.58,"[32, 11, 54, 19]"
20608,good,20,Image,99.00181579589844,0.2538508097330729,1.18,"[171, 8, 197, 23]"
20608,good,21,Icon,112.08512878417969,0.21977476232192095,1.34,"[0, 7, 30, 24]"
20608,good,22,Web View,786.702392578125,0.2195040157863072,9.38,"[0, 193, 224, 209]"
20608,good,23,Icon,85.93476867675781,0.21218461401668595,1.02,"[197, 8, 224, 23]"
20604,good,0,Text,1219.2462158203125,0.687674120598033,6.3,"[13, 123, 210, 132]"
20604,good,1,Text,4063.1162109375,0.6874985128489848,21.01,"[13, 137, 210, 167]"
20604,good,2,Image,10967.6064453125,0.6358769970612534,56.71,"[0, 37, 224, 114]"
20604,good,3,Web View,1442.872802734375,0.5414156858290338,7.46,"[9, 196, 214, 209]"
20604,good,4,Text,634.7940673828125,0.4798141098887472,3.28,"[8, 28, 197, 35]"
20604,good,5,Text,408.491455078125,0.4600128998627534,2.11,"[32, 11, 143, 19]"
20604,good,6,Icon,35.991241455078125,0.39550814785800137,0.19,"[202, 28, 215, 35]"
20604,good,7,Icon,206.6768798828125,0.3921762426618833,1.07,"[184, 187, 215, 204]"
20604,good,8,Image,126.42572784423828,0.3241685329339443,0.65,"[171, 8, 197, 23]"
20604,good,9,Icon,122.4137191772461,0.302256096733941,0.63,"[197, 8, 224, 23]"
20604,good,10,Icon,111.57131958007812,0.21876729329427083,0.58,"[0, 7, 30, 24]"
20606,good,0,Image,378.486083984375,0.9704771384214743,3.0,"[81, 82, 107, 97]"
20606,good,1,Text,93.112060546875,0.9699172973632812,0.74,"[88, 86, 100, 94]"
20606,good,2,Text,90.39454650878906,0.9416098594665527,0.72,"[88, 105, 100, 113]"
20606,good,3,Image,364.1308288574219,0.9336687919421074,2.88,"[116, 82, 142, 97]"
20606,good,4,Image,363.7099304199219,0.9325895651792868,2.88,"[81, 102, 107, 117]"
20606,good,5,Text,89.49083709716797,0.9321962197621664,0.71,"[123, 86, 135, 94]"
20606,good,6,Text,43.73829650878906,0.9112145105997721,0.35,"[91, 66, 97, 74]"
20606,good,7,Icon,331.6532287597656,0.9111352438455099,2.63,"[81, 63, 107, 77]"
20606,good,8,Image,352.14483642578125,0.9029354780148238,2.79,"[151, 82, 177, 97]"
20606,good,9,Text,86.55641174316406,0.9016292889912924,0.69,"[158, 86, 170, 94]"
20606,good,10,Text,85.36783599853516,0.8892482916514078,0.68,"[123, 66, 135, 74]"
20606,good,11,Image,323.68316650390625,0.8892394684173248,2.56,"[116, 63, 142, 77]"
20606,good,12,Text,83.8260498046875,0.8731880187988281,0.66,"[123, 105, 135, 113]"
20606,good,13,Text,83.5794906616211,0.8706196943918864,0.66,"[158, 66, 170, 74]"
20606,good,14,Image,316.78460693359375,0.8702873816856971,2.51,"[151, 63, 177, 77]"
20606,good,15,Image,338.009765625,0.8666917067307692,2.68,"[116, 102, 142, 117]"
20606,good,16,Text,80.82333374023438,0.8419097264607748,0.64,"[158, 105, 170, 113]"
20606,good,17,Image,326.14202880859375,0.8362616123297275,2.58,"[151, 102, 177, 117]"
20606,good,18,Image,323.8582458496094,0.830405758588742,2.56,"[46, 82, 72, 97]"
20606,good,19,Text,79.60855102539062,0.829255739847819,0.63,"[53, 86, 65, 94]"
20606,good,20,Text,37.73077392578125,0.7860577901204427,0.3,"[56, 66, 62, 74]"
20606,good,21,Icon,286.01300048828125,0.785750001341432,2.26,"[46, 63, 72, 77]"
20606,good,22,Image,302.4619140625,0.7755433693910256,2.4,"[186, 82, 212, 97]"
20606,good,23,Text,74.05248260498047,0.7713800271352133,0.59,"[53, 105, 65, 113]"
20606,good,24,Text,80.1650390625,0.7708176832932693,0.63,"[193, 86, 206, 94]"
20606,good,25,Text,41.49864959716797,0.768493511058666,0.33,"[91, 46, 97, 55]"
20606,good,26,Image,298.7391357421875,0.7659977839543269,2.37,"[81, 43, 107, 58]"
20606,good,27,Image,298.3731384277344,0.765059329301883,2.36,"[46, 102, 72, 117]"
20606,good,28,Text,40.45784378051758,0.749219329268844,0.32,"[161, 46, 167, 55]"
20606,good,29,Icon,291.5304260253906,0.747513912885617,2.31,"[151, 43, 177, 58]"
20606,good,30,Image,291.1083984375,0.7464317908653846,2.31,"[116, 43, 142, 58]"
20606,good,31,Text,40.30624771118164,0.7464119946515119,0.32,"[126, 46, 132, 55]"
20606,good,32,Text,77.37632751464844,0.7440031491793119,0.61,"[193, 105, 206, 113]"
