screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
18751,good,0,Text Button,454.71221923828125,0.7334068052230343,1.88,"[19, 120, 81, 130]"
18751,good,1,Text Button,937.127197265625,0.673707546560478,3.88,"[5, 193, 112, 206]"
18751,good,2,Text Button,696.36279296875,0.5465955988765698,2.89,"[120, 193, 218, 206]"
18751,good,3,Text,226.72171020507812,0.5347210146346182,0.94,"[13, 3, 66, 11]"
18751,good,4,Pager Indicator,571.81005859375,0.5105446951729911,2.37,"[0, 179, 224, 184]"
18751,good,5,Text Button,341.8753662109375,0.5095012909253912,1.42,"[81, 136, 142, 147]"
18751,good,6,Image,156.17715454101562,0.5005678030160757,0.65,"[13, 11, 37, 24]"
18751,good,7,Text,312.4446105957031,0.49126511099953324,1.29,"[19, 114, 125, 120]"
18751,good,8,Text,546.79345703125,0.46260021745452623,2.27,"[13, 11, 210, 17]"
18751,good,9,Text,1158.4764404296875,0.4523531590900771,4.8,"[13, 11, 210, 24]"
18751,good,10,Background Image,15872.025390625,0.39585059334160516,65.77,"[0, 0, 224, 179]"
18751,good,11,Text,808.8786010742188,0.36435973021361207,3.35,"[19, 31, 204, 43]"
18751,good,12,Text Button,120.77133178710938,0.35731163250624076,0.5,"[184, 11, 210, 24]"
18751,good,13,Input,689.6590576171875,0.2867605229177495,2.86,"[19, 99, 204, 112]"
18751,good,14,Text Button,688.5101928710938,0.28628282447862524,2.85,"[19, 50, 204, 63]"
18751,good,15,Input,545.4647216796875,0.24570482958544482,2.26,"[19, 84, 204, 96]"
18751,good,16,Text,4.053687572479248,0.03217212359110514,0.02,"[101, 70, 122, 76]"
18750,good,0,Text Button,529.072998046875,0.8533435452368952,1.42,"[19, 120, 81, 130]"
18750,good,1,Text Button,1996.4954833984375,0.8301436521407225,5.35,"[19, 50, 204, 63]"
18750,good,2,Text,1706.7032470703125,0.7687852464280687,4.58,"[19, 31, 204, 43]"
18750,good,3,Input,1619.844970703125,0.7296598967131194,4.34,"[19, 84, 204, 96]"
18750,good,4,Text,445.5026550292969,0.7004758726875737,1.19,"[19, 114, 125, 120]"
18750,good,5,Text Button,225.06838989257812,0.6658828103330714,0.6,"[184, 11, 210, 24]"
18750,good,6,Text Button,438.0340270996094,0.652807790014321,1.17,"[81, 136, 142, 147]"
18750,good,7,Text,82.16967010498047,0.6521402389284164,0.22,"[101, 70, 122, 76]"
18750,good,8,Input,1542.61083984375,0.6414182286252599,4.14,"[19, 99, 204, 112]"
18750,good,9,Background Image,25608.076171875,0.6386690984605696,68.67,"[0, 0, 224, 179]"
18750,good,10,Text,1620.035888671875,0.6325794176774209,4.34,"[13, 11, 210, 24]"
18750,good,11,Icon,154.70904541015625,0.49586232503255206,0.41,"[13, 11, 37, 24]"
18750,good,12,Text Button,595.1203002929688,0.427836305027296,1.6,"[5, 193, 112, 206]"
18750,good,13,Pager Indicator,370.9521484375,0.331207275390625,0.99,"[0, 179, 224, 184]"
18750,good,14,Text Button,358.3014221191406,0.28124130464610725,0.96,"[120, 193, 218, 206]"
18753,good,0,Image,28.868511199951172,0.6873455047607422,0.1,"[197, 67, 204, 73]"
18753,good,1,Image,26.165210723876953,0.622981207711356,0.09,"[197, 85, 204, 91]"
18753,good,2,Text,573.7161865234375,0.5982441986688608,1.92,"[60, 85, 197, 92]"
18753,good,3,Text,565.0221557617188,0.5891784731613334,1.89,"[60, 66, 197, 73]"
18753,good,4,Text Button,1919.58056640625,0.5461111141980797,6.42,"[19, 97, 204, 116]"
18753,good,5,Background Image,21507.943359375,0.5364111971113079,71.96,"[0, 0, 224, 179]"
18753,good,6,Text,1080.849365234375,0.531129909206081,3.62,"[19, 41, 204, 52]"
18753,good,7,Text Button,643.1255493164062,0.5048081234822654,2.15,"[120, 193, 218, 206]"
18753,good,8,Text,728.0264282226562,0.49190974879909205,2.44,"[19, 31, 204, 39]"
18753,good,9,Image,284.3314208984375,0.4786724257549453,0.95,"[19, 61, 52, 79]"
18753,good,10,Image,277.5711669921875,0.46729152692287457,0.93,"[19, 79, 52, 97]"
18753,good,11,Text,1101.587158203125,0.43013946044635887,3.69,"[13, 11, 210, 24]"
18753,good,12,Text Button,597.2547607421875,0.4293707841424784,2.0,"[5, 193, 112, 206]"
18753,good,13,Image,122.40335083007812,0.3923184321476863,0.41,"[13, 11, 37, 24]"
18753,good,14,Pager Indicator,431.88800048828125,0.3856142861502511,1.45,"[0, 179, 224, 184]"
18752,good,0,Text Button,1041.330810546875,0.8173711228782379,4.1,"[120, 193, 218, 206]"
18752,good,1,Text Button,935.7738647460938,0.6727346259856892,3.68,"[5, 193, 112, 206]"
18752,good,2,Pager Indicator,749.9469604492188,0.6695955004010882,2.95,"[0, 179, 224, 184]"
18752,good,3,Background Image,22681.80078125,0.5656873698436253,89.27,"[0, 0, 224, 179]"
