screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
53623,good,0,12,cache,Best choice for everyone. The simplest app ever to use with intuitive interface but also the most effective for any beginners who want to better their English skills.,28,0.9972,0.0008,positive,Web View,"▁who, ▁beginners, ▁choice",0.932941198348999,0.44468408823013306,0.48825711011886597,0.398425430059433,1.0,Web View,0.48825711011886597
53623,good,1,0,cache,"Great application to learn English As everyone knows, English is the most important language for communicating with people regardless of any language-speaking country. Therefore, knowledge of English is the best way to advance to a successful career. This application helps to learn English at home, saving money and time. Very useful, most get it for the complete English course!",59,0.9965,0.0008,positive,Web View,"▁country, ▁the, ▁best",0.9808244705200195,0.7287439703941345,0.252080500125885,0.5560349225997925,1.0,Web View,0.252080500125885
53623,good,2,5,cache,Great!! Thanks so much for developing such a useful application. It helped me a lot. Since childhood I have had weak English. The training classes were boring. Now I can easily learn English using this app. This app is really cool. I recommend it.,44,0.9959,0.001,positive,Web View,"▁much, ▁it, ▁so",0.9684857130050659,0.6103673577308655,0.35811835527420044,0.4589250385761261,1.0,Web View,0.35811835527420044
53623,good,3,9,cache,The best English learning app I have worked on recently in a tourist hotel and my English is not good. I searched and found this app and used it to learn. This helps me to learn English. Now my English has improved a lot. Thank you developer.,47,0.9947,0.0013,positive,Web View,"▁The, ▁you, ▁interface",0.9537693858146667,0.5395213961601257,0.414247989654541,0.42752358317375183,1.0,Web View,0.414247989654541
53623,good,4,14,cache,this amazing App! I am very impressed after installing this app. What a good application to learn English! It's nice to have an app like this. It is a good way to learn English! I love the strategy that this app works and very fair! English can be a useful element that everyone should learn and this app removes it. Recommended!,61,0.9943,0.001,positive,Web View,"▁this, s, ▁and",0.9818952679634094,0.7351105213165283,0.2467847466468811,0.5564661026000977,1.0,Web View,0.2467847466468811
53624,good,0,12,cache,Best choice for everyone. The simplest app ever to use with intuitive interface but also the most effective for any beginners who want to better their English skills.,28,0.9972,0.0008,positive,"Text Button, Text Button, Text Button","▁who, ▁beginners, ▁choice",0.9950533509254456,0.9943629503250122,0.0006904006004333496,0.41583937406539917,1.0,"Text Button, Text Button, Text Button",0.0006904006004333496
53624,good,1,0,cache,"Great application to learn English As everyone knows, English is the most important language for communicating with people regardless of any language-speaking country. Therefore, knowledge of English is the best way to advance to a successful career. This application helps to learn English at home, saving money and time. Very useful, most get it for the complete English course!",59,0.9965,0.0008,positive,"Text Button, Text Button, Text Button","▁country, ▁the, ▁best",0.9975041747093201,0.9971229434013367,0.00038123130798339844,0.43617817759513855,1.0,"Text Button, Text Button, Text Button",0.00038123130798339844
53624,good,2,5,cache,Great!! Thanks so much for developing such a useful application. It helped me a lot. Since childhood I have had weak English. The training classes were boring. Now I can easily learn English using this app. This app is really cool. I recommend it.,44,0.9959,0.001,positive,"Text Button, Text Button, Text Button","▁much, ▁it, ▁so",0.9966502785682678,0.9960582256317139,0.0005920529365539551,0.43760544061660767,1.0,"Text Button, Text Button, Text Button",0.0005920529365539551
53624,good,3,9,cache,The best English learning app I have worked on recently in a tourist hotel and my English is not good. I searched and found this app and used it to learn. This helps me to learn English. Now my English has improved a lot. Thank you developer.,47,0.9947,0.0013,positive,"Text Button, Text Button, Text Button","▁The, ▁you, ▁interface",0.9956610798835754,0.9949396848678589,0.0007213950157165527,0.42689916491508484,1.0,"Text Button, Text Button, Text Button",0.0007213950157165527
53624,good,4,14,cache,this amazing App! I am very impressed after installing this app. What a good application to learn English! It's nice to have an app like this. It is a good way to learn English! I love the strategy that this app works and very fair! English can be a useful element that everyone should learn and this app removes it. Recommended!,61,0.9943,0.001,positive,"Text Button, Text Button, Text Button","▁this, s, ▁and",0.9976246953010559,0.9972597360610962,0.0003649592399597168,0.4476219117641449,1.0,"Text Button, Text Button, Text Button",0.0003649592399597168
