screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
23370,good,0,12,cache,"I love this app! Does what I need it to and easy to use. I have it on my phone, and use it at the grocery store when shopping for ingredients for my recipes! Good interface with cooking sites, will grab recipes from almost anywhere thru the Share button. From some sites, after download, you may have to edit the recipe, though that's probably not this apps fault. I would highly recommend it.",73,0.9936,0.0013,positive,"Icon, Icon, Icon","▁store, ▁and, ▁use",0.8098825812339783,0.7865060567855835,0.023376524448394775,0.43382468819618225,1.0,"Icon, Text Button, Text Button",0.01385200023651123
23370,good,1,18,cache,"Love this app. They thought of everything needed to find, file, and use recipes. I'm now in process of getting all my recipes from books, binders, filing cabinets, kitchen drawers, folders, etc., into My Recipe Box. No more hunting for them. I especially like the feature that allows for changing quantities of ingredients. Love this app!",56,0.9933,0.001,positive,"Icon, Icon, Icon","▁Love, ▁drawers, ▁cabinets",0.8107208609580994,0.7776187658309937,0.03310209512710571,0.4550427496433258,1.0,"Icon, Text Button, Text Button",0.018784701824188232
23370,good,2,9,cache,"So far this is fantastic! It is so easy to search for a recipe or copy and paste one from the web and you can also add recipes of your own. It also stays open while I am using a recipe and the screen doesn't keep going black! I haven't yet run into the issue of only being able to have so many recipes, so I am hoping that I can add as many as I like. If that is the case, this is definitely a 5 star app!",89,0.9925,0.0018,positive,"Icon, Icon, Icon","▁So, ▁and, ▁far",0.8601853251457214,0.8430920839309692,0.017093241214752197,0.49414828419685364,1.0,"Icon, Text Button, Text Button",0.0005960464477539062
23370,good,3,15,cache,"This is the best app I've had! It features recipe scaling, grocery list generation, nutrition capture, and custom naming structure. This means I can scale my recipe servings up and down, and it adjusts the ingredients automatically. The custom naming feature allows me to sort new untried recipes from the ones I've made. It also has a simple heart rateing so you can note the recipes you family loves. All in all, it is perfect for me in all ways.",80,0.9859,0.0022,positive,"Icon, Icon, Icon","▁recipes, ▁This, ▁loves",0.9103760123252869,0.8930711150169373,0.01730489730834961,0.4841897487640381,1.0,"Icon, Text Button, Text Button",0.011377930641174316
23370,good,4,1,cache,"So glad I found this app! Easy to import recipes from various sources & they import perfectly - measurements, directions, even pictures. You have the ability to categorize the type of recipe and the best part is the app stays open which is great when cooking! The free version has a video ad for stupid games after each upload but that's the only time you have to suffer through an ad. The app is so good though, I'm considering upgrading to the paid, ad-free version.",85,0.9841,0.0039,positive,"Icon, Icon, Icon","▁So, ▁upgrading, ▁version",0.8698627948760986,0.8565196394920349,0.01334315538406372,0.4559720754623413,1.0,"Icon, Text Button, Text Button",0.0004774332046508789
23375,good,0,12,cache,"I love this app! Does what I need it to and easy to use. I have it on my phone, and use it at the grocery store when shopping for ingredients for my recipes! Good interface with cooking sites, will grab recipes from almost anywhere thru the Share button. From some sites, after download, you may have to edit the recipe, though that's probably not this apps fault. I would highly recommend it.",73,0.9936,0.0013,positive,"Text, Text, Text","▁store, ▁and, ▁use",0.9786314964294434,0.8794381022453308,0.09919339418411255,0.49515748023986816,1.0,"Text, Text, Text",0.11019361019134521
23375,good,1,18,cache,"Love this app. They thought of everything needed to find, file, and use recipes. I'm now in process of getting all my recipes from books, binders, filing cabinets, kitchen drawers, folders, etc., into My Recipe Box. No more hunting for them. I especially like the feature that allows for changing quantities of ingredients. Love this app!",56,0.9933,0.001,positive,"Text Button, Text, Text","▁Love, ▁drawers, ▁cabinets",0.9810898900032043,0.9347886443138123,0.04630124568939209,0.46061018109321594,1.0,"Text, Text, Text",0.10836964845657349
23375,good,2,9,cache,"So far this is fantastic! It is so easy to search for a recipe or copy and paste one from the web and you can also add recipes of your own. It also stays open while I am using a recipe and the screen doesn't keep going black! I haven't yet run into the issue of only being able to have so many recipes, so I am hoping that I can add as many as I like. If that is the case, this is definitely a 5 star app!",89,0.9925,0.0018,positive,"Text, Text, Text","▁So, ▁and, ▁far",0.9842494130134583,0.9161937832832336,0.06805562973022461,0.501922070980072,1.0,"Text, Text, Text",0.028563261032104492
23375,good,3,15,cache,"This is the best app I've had! It features recipe scaling, grocery list generation, nutrition capture, and custom naming structure. This means I can scale my recipe servings up and down, and it adjusts the ingredients automatically. The custom naming feature allows me to sort new untried recipes from the ones I've made. It also has a simple heart rateing so you can note the recipes you family loves. All in all, it is perfect for me in all ways.",80,0.9859,0.0022,positive,"Text, Text, Text","▁recipes, ▁This, ▁loves",0.9900649189949036,0.9470386505126953,0.04302626848220825,0.5158683657646179,1.0,"Text, Text, Text",0.01860600709915161
23375,good,4,1,cache,"So glad I found this app! Easy to import recipes from various sources & they import perfectly - measurements, directions, even pictures. You have the ability to categorize the type of recipe and the best part is the app stays open which is great when cooking! The free version has a video ad for stupid games after each upload but that's the only time you have to suffer through an ad. The app is so good though, I'm considering upgrading to the paid, ad-free version.",85,0.9841,0.0039,positive,"Text, Text, Text","▁So, ▁upgrading, ▁version",0.9847922325134277,0.9199920296669006,0.0648002028465271,0.504218339920044,1.0,"Text, Text, Text",0.026259243488311768
