screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
13722,good,0,Text,1741.0809326171875,0.6377585833762591,9.66,"[14, 44, 209, 58]"
13722,good,1,Text Button,375.2680358886719,0.6254467264811198,2.08,"[184, 8, 224, 23]"
13722,good,2,Text,1714.145751953125,0.5860327357104701,9.51,"[14, 58, 209, 73]"
13722,good,3,Text,1668.6837158203125,0.5704901592548077,9.26,"[14, 29, 209, 44]"
13722,good,4,Text,1542.3865966796875,0.5273116569845085,8.56,"[14, 73, 209, 88]"
13722,good,5,Text,482.0981140136719,0.4944596041165865,2.68,"[14, 24, 209, 29]"
13722,good,6,Text,1322.41357421875,0.4844005766369048,7.34,"[14, 88, 209, 102]"
13722,good,7,Text,1333.258056640625,0.4558147202190171,7.4,"[14, 176, 209, 191]"
13722,good,8,Text,1330.30517578125,0.454805188301282,7.38,"[14, 161, 209, 176]"
13722,good,9,Text,1301.984375,0.44512286324786327,7.23,"[14, 102, 209, 117]"
13722,good,10,Text,1153.1199951171875,0.4223882765997024,6.4,"[14, 191, 209, 205]"
13722,good,11,Text,1229.609375,0.4203792735042735,6.82,"[14, 117, 209, 132]"
13722,good,12,Text,1145.0379638671875,0.41942782559237635,6.36,"[14, 147, 209, 161]"
13722,good,13,Text,313.912841796875,0.40245236127804485,1.74,"[14, 205, 209, 209]"
13722,good,14,Text,1176.5302734375,0.4022325721153846,6.53,"[14, 132, 209, 147]"
13722,good,15,Text,84.93557739257812,0.2589499310749333,0.47,"[32, 11, 73, 19]"
13722,good,16,Icon,101.91900634765625,0.19984118891697303,0.57,"[0, 7, 30, 24]"
13727,good,0,Icon,199.81936645507812,0.9795066983092064,1.94,"[207, 64, 224, 76]"
13727,good,1,Icon,199.576416015625,0.9783157647824755,1.94,"[207, 80, 224, 92]"
13727,good,2,Icon,192.52963256835938,0.9437727086684283,1.87,"[207, 49, 224, 61]"
13727,good,3,Icon,187.15939331054688,0.9174480064242494,1.82,"[207, 95, 224, 107]"
13727,good,4,Input,161.11038208007812,0.8950576782226562,1.56,"[189, 65, 207, 75]"
13727,good,5,Input,158.73806762695312,0.881878153483073,1.54,"[189, 81, 207, 91]"
13727,good,6,Input,158.6555938720703,0.8814199659559462,1.54,"[189, 50, 207, 60]"
13727,good,7,Icon,190.99386596679688,0.8642256378588093,1.85,"[207, 110, 224, 123]"
13727,good,8,Icon,169.96994018554688,0.8331859813017004,1.65,"[207, 126, 224, 138]"
13727,good,9,Input,148.80450439453125,0.8266916910807292,1.44,"[189, 96, 207, 106]"
13727,good,10,Icon,162.49290466308594,0.7965338463876762,1.58,"[207, 141, 224, 153]"
13727,good,11,Input,125.83345031738281,0.7767496933171778,1.22,"[189, 112, 207, 121]"
13727,good,12,Input,131.6241912841797,0.7742599487304688,1.28,"[172, 50, 189, 60]"
13727,good,13,Input,133.89431762695312,0.7438573201497396,1.3,"[189, 127, 207, 137]"
13727,good,14,Input,132.0173797607422,0.7334298875596789,1.28,"[154, 50, 172, 60]"
13727,good,15,Icon,149.59817504882812,0.7333243874942555,1.45,"[207, 157, 224, 169]"
13727,good,16,Input,122.02123260498047,0.7177719564998851,1.18,"[172, 81, 189, 91]"
13727,good,17,Input,128.2174530029297,0.7123191833496094,1.24,"[189, 142, 207, 152]"
13727,good,18,Input,124.30948638916016,0.6906082577175564,1.21,"[154, 81, 172, 91]"
13727,good,19,Input,122.27792358398438,0.6793217976888021,1.19,"[189, 158, 207, 168]"
13727,good,20,Text Button,982.9039306640625,0.6750713809505924,9.54,"[112, 34, 224, 47]"
13727,good,21,Icon,133.319091796875,0.6535249597886029,1.29,"[207, 172, 224, 184]"
