screen_id,true_class,review_rank,embedding_idx,review_source,review_text,word_count,interface_pos,interface_neg,interface_sentiment,top_components,top_k_tokens,p_orig,p_img,delta_p_img,gradcam_mean,gradcam_max,top_components_shap,delta_p_img_shap
13722,good,0,9,cache,"This app is absolutely amazing! I have completely turned my health around using Dr. Greger's methods and I actually understand nutrition now. This is the easiest way I have every found to track my nutrition, I'm not having to count any calories or anything like that. Just simply check off the boxes! An absolute game changer, especially when used in correlation with the books. My life is changed!",68,0.989,0.0017,positive,"Text, Text Button, Text","▁This, ▁absolutely, ▁found",0.9701607823371887,0.9395610690116882,0.03059971332550049,0.46005481481552124,1.0,"Text Button, Text, Text",0.01817244291305542
13722,good,1,5,cache,"Best weight loss app. Over the past 12 weeks, my partner and I have lost over 35 lbs each and we're still losing. The most I've ever lost before was 5lbs through calorie counting. But using this app, I've been able to eat until I'm full. We've also lowered our blood pressure and cholesterol, plus we feel great. It did take about 3 weeks for my sense of taste to adjust, but it's worth it because now whole foods taste much better. My kids are also eating more healthy now.",90,0.9887,0.0028,positive,"Text, Text Button, Text","▁Best, ▁better, ▁much",0.9615165591239929,0.9211140871047974,0.04040247201919556,0.43324169516563416,1.0,"Text Button, Text, Text",0.023033738136291504
13722,good,2,3,cache,"This App works great. Most of the changes I have made to fit in the daily dozen have actually made me enjoy my food more. For instance, when I make pizza now I add in spinach to the tomato sauce to get greens, and this tastes great. For breakfast, I eat frozen berries (defrosted) with various combinations of apples, flax meal, walnuts, nut butters, and so on, and I really look forward to this now. I think a complete fod journal is still best, especially for obese people but this App is good.",93,0.9884,0.0029,positive,"Text, Text Button, Text","▁This, ▁meal, ▁is",0.9733104109764099,0.9475189447402954,0.025791466236114502,0.45378103852272034,1.0,"Text Button, Text, Text",0.023329496383666992
13722,good,3,13,cache,"I don't ordinarily download apps but I was striving to be successful at the daily dozen program, thus downloaded the app. It has made reaching my daily dozen goals so easy. I love the check off format. I love the simplicity of the layout. When I forget how much is a serving of rice , I can touch the grain icon and it will take me to a page with more information about the food. This app is so easy to use. I look forward to learning more about its other facets.",92,0.9805,0.0033,positive,"Text, Text Button, Text","▁of, ▁icon, ▁to",0.9713806509971619,0.9428737163543701,0.028506934642791748,0.45358821749687195,1.0,"Text Button, Text, Text",0.025567352771759033
13722,good,4,0,cache,"I really like this app and the visual reminder to focus on getting the most nutrient-dense foods into my diet every single day. I'm still relatively new to the Daily Dozen and WFPB, although I've been plant-based for nearly half a year. I hope there will continue to be some modifications to the app as others have suggested. I like having the 21 tweaks available to mark off, too.",69,0.9802,0.0029,positive,"Text, Text Button, Text","▁available, ▁I, ▁off",0.9749894142150879,0.9500932693481445,0.02489614486694336,0.4582076072692871,1.0,"Text Button, Text, Text",0.02253556251525879
13727,good,0,9,cache,"This app is absolutely amazing! I have completely turned my health around using Dr. Greger's methods and I actually understand nutrition now. This is the easiest way I have every found to track my nutrition, I'm not having to count any calories or anything like that. Just simply check off the boxes! An absolute game changer, especially when used in correlation with the books. My life is changed!",68,0.989,0.0017,positive,"Icon, Icon, Icon","▁This, ▁absolutely, ▁found",0.9854521155357361,0.9846754670143127,0.0007766485214233398,0.485763281583786,1.0,"Icon, Icon, Icon",0.0009590387344360352
13727,good,1,5,cache,"Best weight loss app. Over the past 12 weeks, my partner and I have lost over 35 lbs each and we're still losing. The most I've ever lost before was 5lbs through calorie counting. But using this app, I've been able to eat until I'm full. We've also lowered our blood pressure and cholesterol, plus we feel great. It did take about 3 weeks for my sense of taste to adjust, but it's worth it because now whole foods taste much better. My kids are also eating more healthy now.",90,0.9887,0.0028,positive,"Icon, Icon, Icon","▁Best, ▁better, ▁much",0.9769879579544067,0.9767100214958191,0.0002779364585876465,0.45940881967544556,1.0,"Icon, Icon, Icon",0.0005009174346923828
13727,good,2,3,cache,"This App works great. Most of the changes I have made to fit in the daily dozen have actually made me enjoy my food more. For instance, when I make pizza now I add in spinach to the tomato sauce to get greens, and this tastes great. For breakfast, I eat frozen berries (defrosted) with various combinations of apples, flax meal, walnuts, nut butters, and so on, and I really look forward to this now. I think a complete fod journal is still best, especially for obese people but this App is good.",93,0.9884,0.0029,positive,"Icon, Icon, Icon","▁This, ▁meal, ▁is",0.9865402579307556,0.985824465751648,0.000715792179107666,0.495866060256958,1.0,"Icon, Icon, Text Button",0.000896751880645752
13727,good,3,13,cache,"I don't ordinarily download apps but I was striving to be successful at the daily dozen program, thus downloaded the app. It has made reaching my daily dozen goals so easy. I love the check off format. I love the simplicity of the layout. When I forget how much is a serving of rice , I can touch the grain icon and it will take me to a page with more information about the food. This app is so easy to use. I look forward to learning more about its other facets.",92,0.9805,0.0033,positive,"Icon, Icon, Icon","▁of, ▁icon, ▁to",0.9857266545295715,0.985024094581604,0.0007025599479675293,0.4909016489982605,1.0,"Icon, Icon, Text Button",0.0009958744049072266
13727,good,4,0,cache,"I really like this app and the visual reminder to focus on getting the most nutrient-dense foods into my diet every single day. I'm still relatively new to the Daily Dozen and WFPB, although I've been plant-based for nearly half a year. I hope there will continue to be some modifications to the app as others have suggested. I like having the 21 tweaks available to mark off, too.",69,0.9802,0.0029,positive,"Icon, Icon, Icon","▁available, ▁I, ▁off",0.9875877499580383,0.986798107624054,0.000789642333984375,0.5014528036117554,1.0,"Icon, Icon, Text Button",0.0006979107856750488
