screen_id,true_class,rank,component,score_total,score_mean,score_pct,bounds_image
64535,good,0,Text,902.1144409179688,0.7568074168774905,21.58,"[10, 28, 159, 36]"
64535,good,1,Text,195.23422241210938,0.7509008554311899,4.67,"[161, 28, 213, 33]"
64535,good,2,Text Button,1800.299072265625,0.7101771488227318,43.06,"[27, 7, 196, 22]"
64535,good,3,Icon,205.26522827148438,0.506827724127122,4.91,"[196, 7, 223, 22]"
64535,good,4,Input,4.318685531616211,0.47985394795735675,0.1,"[223, 10, 224, 19]"
64535,good,5,Icon,158.87811279296875,0.39229163652584875,3.8,"[0, 7, 27, 22]"
64535,good,6,Web View,914.6582641601562,0.25520598888397217,21.88,"[0, 193, 224, 209]"
64534,good,0,Text,23739.013671875,0.6197528631964024,88.23,"[0, 22, 224, 193]"
64534,good,1,Web View,2066.892578125,0.576699938092913,7.68,"[0, 193, 224, 209]"
64534,good,2,Icon,141.6812286376953,0.34983019416714894,0.53,"[197, 7, 224, 22]"
64534,good,3,Text Button,891.5833740234375,0.3496405388327206,3.31,"[27, 7, 197, 22]"
64534,good,4,Icon,65.167236328125,0.16090675636574073,0.24,"[0, 7, 27, 22]"
64533,good,0,Text,1299.54833984375,0.75996978938231,8.58,"[121, 59, 211, 78]"
64533,good,1,Text,1226.112548828125,0.7568595980420525,8.1,"[121, 41, 211, 59]"
64533,good,2,Text,1199.28759765625,0.7403009862075617,7.92,"[121, 78, 211, 96]"
64533,good,3,Text,1143.14697265625,0.7056462794174383,7.55,"[121, 97, 211, 115]"
64533,good,4,Text,1106.39453125,0.6470143457602339,7.31,"[12, 59, 102, 78]"
64533,good,5,Text,1027.55712890625,0.6342945240162037,6.79,"[12, 78, 102, 96]"
64533,good,6,Text,1043.2451171875,0.6100848638523392,6.89,"[121, 22, 211, 41]"
64533,good,7,Text,979.9566650390625,0.6049115216290509,6.47,"[12, 41, 102, 59]"
64533,good,8,Text,1005.1205444335938,0.5877897920664291,6.64,"[121, 115, 211, 134]"
64533,good,9,Text,953.1624145507812,0.5574049207899305,6.3,"[12, 22, 102, 41]"
64533,good,10,Text Button,1394.2965087890625,0.550018346662352,9.21,"[27, 7, 196, 22]"
64533,good,11,Text,865.8173217773438,0.5344551368995949,5.72,"[12, 97, 102, 115]"
64533,good,12,Text,726.1137084960938,0.424627899705318,4.8,"[12, 115, 102, 134]"
64533,good,13,Web View,1100.545166015625,0.30707175391060965,7.27,"[0, 193, 224, 209]"
64533,good,14,Icon,70.109619140625,0.1731101707175926,0.46,"[0, 7, 27, 22]"
64532,good,0,Icon,301.8083801269531,0.7452058768566744,1.24,"[191, 22, 218, 37]"
64532,good,1,Text,21745.26953125,0.6544260723260503,89.28,"[5, 37, 218, 193]"
64532,good,2,Icon,259.1177062988281,0.6169469197591145,1.06,"[196, 7, 224, 22]"
64532,good,3,Icon,2.811842441558838,0.5623684883117676,0.01,"[163, 14, 168, 15]"
64532,good,4,Image,163.06008911132812,0.3639734131949289,0.67,"[0, 22, 224, 24]"
64532,good,5,Text,464.70025634765625,0.35691263928391415,1.91,"[5, 25, 191, 32]"
64532,good,6,Web View,1163.166259765625,0.3245441573006766,4.78,"[0, 193, 224, 209]"
64532,good,7,Text,239.4881591796875,0.25342662347056877,0.98,"[55, 10, 160, 19]"
64532,good,8,Icon,16.518695831298828,0.0407869032871576,0.07,"[0, 7, 27, 22]"
64536,good,0,Text Button,1409.133056640625,0.552601198682598,8.96,"[27, 7, 197, 22]"
64536,good,1,Text,13840.2353515625,0.39862429007956507,87.98,"[0, 22, 224, 177]"
64536,good,2,Icon,155.6566162109375,0.38433732397762344,0.99,"[197, 7, 224, 22]"
64536,good,3,Icon,120.20375061035156,0.29679938422309027,0.76,"[0, 7, 27, 22]"
64536,good,4,Radio Button,77.87530517578125,0.1280843835127981,0.5,"[186, 177, 224, 193]"
64536,good,5,Radio Button,42.06388854980469,0.071053865793589,0.27,"[149, 177, 186, 193]"
64536,good,6,Web View,79.87528228759766,0.02228663010256631,0.51,"[0, 193, 224, 209]"
64536,good,7,Radio Button,4.279293060302734,0.0072285355748357,0.03,"[0, 177, 37, 193]"
64536,good,8,Radio Button,0.7307600975036621,0.001234392056594024,0.0,"[112, 177, 149, 193]"
64536,good,9,Radio Button,0.2807984948158264,0.0004743217817834906,0.0,"[37, 177, 74, 193]"
64536,good,10,Radio Button,0.0061765071004629135,1.0158728783656107e-05,0.0,"[74, 177, 112, 193]"
